# key	status	primaryFile	route	reason	bp
# Wave 60, 2026-09-21, lane `social-feed` (the feed, post cards, post detail, stories and the social side menus).
# Rows here are the frames this pass REACHED. No browser ran, so nothing below claims a DOM-measured render: every
# geometry claim is the component's class list resolved to pixels by src/components/social/menus/MenuPanelBox.figma.test.tsx
# against node data read live this pass. Code commits are on local main and NOT pushed (the orchestrator pushes at the fold);
# nothing is deployed (Ruling 16).
9626-39285	done	src/components/social/SocialMenu.tsx	/discover	BUILT AT 0df110ecc (superproject, local main, not pushed, not deployed) AND MOUNTED, so this row closes at the one width it draws. READ LIVE this pass with get_design_context and get_metadata on 9626:39285: panel 250x168, padding 8, gap 8, r12, fill Primary/Green Coal 200 #122524, 1px Primary/Green Coal 100 #123F3C stroke, Input hint (dark) DROP_SHADOW 0,4 r12 #000000 at 0.24; four rows 234x30 r4 pad 8/6 gap 8 at y=8/54/92/130, each a 16 glyph at x=8 (y=7) and the label at x=32, Manrope Regular 14/18 at -0.56 in Core/White on EVERY row including Block user, whose icons/warnings glyph alone carries the warning; line 9626:39289 234 wide, height 0, at y=46; row one filled #123F3C. STROKE BY ARITHMETIC on the top-EDGE child: 8 + 30 + 8 + 0 + 8 + 30 + 8 + 30 + 8 + 30 + 8 = 168 = the reported 168, the first row's top edge is at y=8 and the rows are 234 = 250 - 16, so the stroke is inside and uncounted. WHAT WAS WRONG AT HEAD, and in the shared primitive rather than the builder: SocialMenu drew the stroke as `border` on a border-box panel at `p-2` and the rule as a 1px block, so the panel laid out 171 tall with rows 232 wide at y=9/56/94/132 and the rule centred at 47.5 - a 2px width and 3px height error that every class-list test passed, because the old height check sums the FRAME's parts and never what the CSS pays. FIX: the stroke is `outline outline-1 outline-offset-[-1px] outline-green-coal-100` (the inside-stroke pattern SocialRightMenu and creatorListModalSheet already use) and the rule is `-my-[0.5px] h-px`, netting zero and centred on the frame's zero-height line as the export's inset-[-0.5px_0] is. NOW, resolved from the rendered class list by the new oracle MenuPanelBox.figma.test.tsx: 250 wide, 168 tall, rows 234 wide at y=8/54/92/130 on a 30 box, rule centre 46, label x=32 - every number above. MUTATION-PROVED: restoring the border and the plain h-px reddens 5 of 7 cases with exactly 171 / 232 / [9,56,94,132] / 47.5. THE MOUNT, and it OVERTURNS my own wave-59 row: that row said no frame draws where this panel hangs and asked Casey where to hang it; the Discover Creators table's Action column draws the tri-dot, and f6a65492b (social-profile-discover) mounted buildCreatorsMenu there. Verified first-hand: src/pages/social/Discover.tsx CreatorTableRow calls buildCreatorsMenu at :1502 and renders SocialMenu at :1684 with width={FEED_MENU_WIDTH.creators[menuBreakpoint]} and size={feedMenuSize(menuBreakpoint)}; feedMenuBreakpoint(1440) is desktop, so 250 at md (14/18). That call site is now pinned by src/components/social/menus/MenuMounts.figma.test.ts, which requires the CALL and the width and size expressions, not the name. THE UNAVAILABLE STATE, per Casey's standing direction: Remove from favorites, Block user and Report user ship disabled at 0.5 opacity with their reasons, because no favourites, block or report source exists (feedMenus.ts:126 records that messaging_blocks is absent from the database). A disabled row takes no roving-cursor wash, so row one draws unfilled where the frame fills it; that wash marks focus, not data. View on Skaiscan is live off the curve address. The peer's two assertions on the old border landed at 699fa31fb at this lane's request. Second witness file src/components/social/menus/MenuPanelBox.figma.test.tsx.	1440=done 768=n-a 375=n-a @2026-09-21/wave60-social-feed
11398-85199	partial	src/components/social/menus/socialRowMenus.tsx	/social/groups	THE PANEL IS NOW EXACT AT 375 AND STILL HAS NO CALLER. READ LIVE this pass with get_metadata on 11398:85199: 200x152; four rows 184x26 at y=8/50/84/118, each ONLY a text at x=8 y=6 h=14; line 11398:85202 184 wide, height 0, at y=42. Stroke by arithmetic on the top-edge row: 8 + 26 + 8 + 0 + 8 + 26 + 8 + 26 + 8 + 26 + 8 = 152 = the reported 152 with row one at y=8, so the stroke is inside. At HEAD the shared SocialMenu drew that stroke as a border and the rule as a 1px block, so this panel laid out 155 with rows 182 wide at y=9; FIXED at 0df110ecc, and the new oracle src/components/social/menus/MenuPanelBox.figma.test.tsx now renders buildGroupFilterMenu at GROUP_FILTER_MENU_WIDTH_PX (200) on size xs and resolves 200 x 152, rows 184 wide on a 26 box at y=8/50/84/118, rule centre 42, label x=8 - every number the frame states. THE MOUNT, re-confirmed first-hand: a name-grep of src/ for buildGroupFilterMenu outside tests returns socialRowMenus.tsx and the barrel menus/index.ts only, and src/pages/social/TradingGroups.tsx:183 still holds `useState<GroupsFilter>("all")` behind a hand-rolled control. That file is social-groups-tokens'; no edit was made. HAND-OFF, exact change: widen GroupsFilter to carry the two sort directions, then render SocialMenu with items={buildGroupFilterMenu({ onChange: setFilter })}, selectedKey={filter}, width={GROUP_FILTER_MENU_WIDTH_PX} and size="xs" at 375.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
11398-85209	partial	src/pages/social/groups/GroupsSearchTable.tsx	/trading-groups	MOUNTED, AND OFF BY THE SAME ONE PIXEL THE SHARED PANEL WAS, IN A FILE THAT IS NOT THIS LANE'S. READ LIVE this pass with get_metadata on 11398:85209: 218x80; rows Frame 228 and Frame 231 202x28 at y=8 and y=44, each a 16 icons/action at x=8 y=6 and a 14-tall label at x=32 y=7. Stroke by arithmetic on the top-edge row: 8 + 28 + 8 + 28 + 8 = 80 = the reported 80 with row one at y=8 and rows 202 = 218 - 16, so the stroke is inside and uncounted. MEASURED IN CODE: GroupsSearchTable.tsx:733 ROW_MENU_PANEL is `w-[218px] rounded-[12px] border-green-coal-100 bg-green-coal-200 ... p-2` and it is passed to the @skai/ui DropdownMenuContent at :1357, whose base class at modules/skai-ui/src/components/overlays/dropdown-menu.tsx:83 carries `border` (1px) and `p-1`; the p-2 wins the padding and the 1px border stays, so the panel lays out rows 200 wide at y=9 and y=45 in an 82-tall box against the frame's 202 at 8/44 in 80. This is exactly what 0df110ecc fixed in SocialMenu, which this panel does not use. HAND-OFF to social-groups-tokens, exact change: in ROW_MENU_PANEL replace `border-green-coal-100` with `border-0 outline outline-1 outline-offset-[-1px] outline-green-coal-100`, and update src/pages/social/groups/__tests__/groupsRowMenu.figma.test.ts:81 and groupsTableBox.figma.test.tsx:207, which assert the old border colour. STILL ALSO OPEN ON THE RECORDED ITEM-SET DECISION: the panel draws View group and, for an owner, Delete group beyond the frame's two rows (header :714-731), so on the frame's own arithmetic a member's panel stacks 8 + 3x28 + 2x8 + 8 = 116 against 80 at 375. Needs Casey: drop two real actions to reach 80, or accept the superset and close on the chrome. No edit was made here.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
11530-303299	partial	src/components/social/SocialTridotsMenu.tsx	/messages	RE-GREPPED THIS PASS: a bare name-grep of src/ for SocialTridotsMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for: the carried 160x124 (not re-read this pass) closes only as three 28 rows and one zero-height rule, 8 + 28 + 8 + 28 + 8 + 0 + 8 + 28 + 8 = 124, which is an inference from the carried numbers and wants a node read before it is built on. So the panel is no longer the gap; the mount is, and it belongs to social-messages (src/components/messages/, src/pages/social/messages/). HAND-OFF unchanged: the messages header tri-dot renders SocialTridotsMenu at width MESSAGE_TRIDOTS_WIDTH_PX and size sm on the 768 board. No edit outside owns.	1440=n-a 768=partial 375=n-a @2026-09-21/wave60-social-feed
11530-303318	partial	src/components/social/SocialTridotsMenu.tsx	/messages	The 375 copy of 11530-303299, same finding. RE-GREPPED THIS PASS: a bare name-grep of src/ for SocialTridotsMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for. Carried 160x124 at Manrope 12/14, which the shipped xs step draws; every row carries a 16 glyph, so the box is 28 at either leading. Mount is social-messages'; see 11530-303299 for the hand-off.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
11530-303337	partial	src/components/social/SocialTridotsMenu.tsx	/messages/:conversationId	RE-GREPPED THIS PASS: a bare name-grep of src/ for SocialTridotsMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for: carried 200x196 (2026-09-01 read, not re-read) with five 184x28 rows at y=8/44/80/124/160 and the rule at y=116 sums 8 + 28 + 8 + 28 + 8 + 28 + 8 + 0 + 8 + 28 + 8 + 28 + 8 = 196, and the fixed panel's layout reproduces those five tops and that rule exactly, where HEAD before the fix put them at 9/45/81/126/162. MESSAGE_TRIDOTS_WIDTH_PX is 200. Mount is social-messages'; no edit outside owns.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
11530-303366	partial	src/components/social/SocialTridotsMenu.tsx	/messages/:conversationId	The 768 copy of 11530-303337, same carried 200x196 and same rows, at 12/16 which the shipped sm step draws. RE-GREPPED THIS PASS: a bare name-grep of src/ for SocialTridotsMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for. Mount is social-messages'; no edit outside owns.	1440=n-a 768=partial 375=n-a @2026-09-21/wave60-social-feed
11530-303185	partial	src/components/social/menus/socialRowMenus.tsx	/:username	RE-GREPPED THIS PASS: a bare name-grep of src/ for buildBalanceRowMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for; the carried 220x196 was not re-read this pass. The mount target stands as located in wave 59: src/components/social/profile/CreatorProfileShell.tsx:128 declares a Balances tab with no panel file behind it, so the mount is a new panel in social-profile-discover's path, not a one-line call. No edit outside owns.	1440=n-a 768=partial 375=n-a @2026-09-21/wave60-social-feed
11530-303236	partial	src/components/social/menus/socialRowMenus.tsx	/:username	The 375 copy of 11530-303185, same finding. RE-GREPPED THIS PASS: a bare name-grep of src/ for buildBalanceRowMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for; carried 200x196 not re-read. Mount is social-profile-discover's Balances tab. No edit outside owns.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
11530-302936	partial	src/components/social/feed/feedMenus.ts	/discover	HELD ON THE RECORDED PRODUCT DECISION, re-confirmed. RE-GREPPED THIS PASS: a bare name-grep of src/ for buildContentFilterMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for: carried 180x116 (not re-read) sums 8 + 28 + 8 + 28 + 8 + 28 + 8 = 116, equal to the reported height. FEED_MENU_WIDTH.main.tablet 180 and FEED_MENU_SIZE.tablet sm stand. Mounting stays held because the panel is a subset of a control /discover already ships. Needs Casey: replace that control with this panel, or retire the frame.	1440=n-a 768=partial 375=n-a @2026-09-21/wave60-social-feed
11530-302943	partial	src/components/social/feed/feedMenus.ts	/discover	The 375 copy of 11530-302936, held on the same decision. RE-GREPPED THIS PASS: a bare name-grep of src/ for buildContentFilterMenu outside tests returns only its own module and the barrel that exports it, so no production path opens this panel at any width. The panel it renders is SocialMenu, whose stroke and rule took layout until 0df110ecc (a 1px border on a border-box at p-2, and a 1px rule block); both are now zero-layout, the case this frame's own arithmetic calls for: carried 160x110 sums 8 + 26 + 8 + 26 + 8 + 26 + 8 = 110, and the glyphless 26 row is the xs step's 6 + 14 + 6. Needs Casey, as 11530-302936.	1440=n-a 768=n-a 375=partial @2026-09-21/wave60-social-feed
