file	line	row	before	after
status.wave17.play-pages.tsv	15	Skai > Play > Casino > Sample game bets 	mobile=frame-defect	mobile=broken
status.wave17.play-shared.tsv	8	Blackjack mainframe ALT - unsorted [4755	1440=frame-defect	1440=broken
status.wave17.predict-pages.tsv	8	Skai > Predict > sample market - all exp	tablet=blocked-on-backend	tablet=unknown
status.wave17.social-messages.tsv	11	Skai > Social > Messages > Sample Conver	desktop=measured	desktop=partial
status.wave17.social-messages.tsv	12	Skai > Social > Messages > Sample Conver	tablet=measured	tablet=partial
status.wave17.social-messages.tsv	13	Skai > Social > Messages > Sample Conver	mobile=measured	mobile=partial
status.wave17.social-messages.tsv	14	Skai > Social > Messages > Sample Conver	desktop=measured	desktop=partial
status.wave17.social-messages.tsv	15	Skai > Social > Messages > Sample Conver	tablet=measured	tablet=partial
status.wave17.social-messages.tsv	16	Skai > Social > Messages > Sample Conver	mobile=measured	mobile=partial
status.wave27.predict-dash.tsv	9	Skai > Predict > Dashboard > Economy (14	desktop=blocked-on-backend	desktop=unknown
status.wave27.predict-futures.tsv	2	sports > Futures [3456-3142]	desktop=fixed-cta-glyph	desktop=renders
status.wave27.predict-futures.tsv	3	Sports futures [10597-66077]	mobile=fixed-cta-glyph	mobile=renders
status.wave27.predict-futures.tsv	4	Sports futures [10654-208482]	tablet=fixed-cta-glyph	tablet=renders
status.wave27.predict-futures.tsv	5	Sports futures 1VH [10710-131349]	mobile=fixed-cta-glyph	mobile=renders
status.wave27.predict-futures.tsv	6	Sports futures 1VH [10710-132635]	tablet=fixed-cta-glyph	tablet=renders
status.wave27.predict-futures.tsv	7	sports > Futures > Sample futures [3471-	desktop=fixed-legend-marker	desktop=renders
status.wave27.predict-futures.tsv	8	sports > Futures > Sample futures - full	mobile=fixed-legend-marker	mobile=renders
status.wave27.predict-futures.tsv	9	sports > Futures > Sample futures - full	tablet=fixed-legend-marker	tablet=renders
status.wave27.trade2-trench-b.tsv	7	Hover and clicks [13006-247576]	desktop=furniture	desktop=n-a
status.wave27.trade2-trench-b.tsv	8	Boost status ALT [13006-252664]	desktop=blocked-on-backend	desktop=unknown
status.wave27.trade2-trench-b.tsv	9	Boost status [13006-252687]	desktop=blocked-on-backend	desktop=unknown
status.wave27.trade2-trench-b.tsv	10	Boost status 50% [13006-252710]	desktop=blocked-on-backend	desktop=unknown
status.wave27.trade2-trench-b.tsv	11	Boost status - more info. [13006-252735]	desktop=blocked-on-backend	desktop=unknown
status.wave27.trade2-trench-b.tsv	12	Boost status ALT [13006-347983]	tablet=blocked-on-backend	tablet=unknown
status.wave27.trade2-trench-b.tsv	13	Boost status [13006-348006]	tablet=blocked-on-backend	tablet=unknown
status.wave27.trade2-trench-b.tsv	14	Boost status 50% [13006-348029]	tablet=blocked-on-backend	tablet=unknown
status.wave27.trade2-trench-b.tsv	15	Boost status - more info. [13006-348054]	tablet=blocked-on-backend	tablet=unknown
status.wave27.trade2-trench-b.tsv	16	Boost status ALT [13006-348856]	mobile=blocked-on-backend	mobile=unknown
status.wave27.trade2-trench-b.tsv	17	Boost status [13006-348879]	mobile=blocked-on-backend	mobile=unknown
status.wave27.trade2-trench-b.tsv	18	Boost status 50% [13006-348902]	mobile=blocked-on-backend	mobile=unknown
status.wave27.trade2-trench-b.tsv	19	Boost status - more info. [13006-348927]	mobile=blocked-on-backend	mobile=unknown
status.wave28.play-hub.tsv	60	Skai > Play > unsupported region ALT 1VH	desktop=n-a tablet=blocked mobile=n-a @2026-09-06	desktop=n-a tablet=unknown mobile=n-a @2026-09-06
status.wave28.play-hub.tsv	61	Skai > Play > unsupported region ALT 1VH	desktop=n-a tablet=n-a mobile=blocked @2026-09-06	desktop=n-a tablet=n-a mobile=unknown @2026-09-06
status.wave28.play-hub.tsv	62	Skai > Play > unsupported region ALT 1VH	desktop=blocked tablet=n-a mobile=n-a @2026-09-06	desktop=unknown tablet=n-a mobile=n-a @2026-09-06
status.wave28.play-hub.tsv	65	Skai > Play > Sidebar 1VH (1440 / 768 / 	desktop=blocked tablet=blocked mobile=blocked @2026-09-06	desktop=unknown tablet=unknown mobile=unknown @2026-09-06
status.wave28.predict-dash.tsv	9	Skai > Predict > Dashboard > Economy (14	desktop=blocked-on-backend	desktop=unknown
status.wave28.predict-dash.tsv	15	Skai > Predict > Dashboard > Oscars (768	desktop=frame-defect	desktop=broken
status.wave28.predict-futures.tsv	2	Skai > Predict > sports > Futures > Samp	desktop=fixed-range-strip+resolved-toggle	desktop=renders
status.wave28.predict-futures.tsv	3	Skai > Predict > sports > Futures > Samp	desktop=fixed-range-strip+resolved-toggle	desktop=renders
status.wave28.predict-futures.tsv	4	Skai > Predict > sports > Futures > Samp	desktop=fixed-range-strip+resolved-toggle	desktop=renders
status.wave28.predict-futures.tsv	5	Skai > Predict > sports > Futures > Samp	desktop=fixed-range-strip+resolved-toggle	desktop=renders
status.wave28.predict-futures.tsv	6	Skai > Predict > sports > Futures > Samp	desktop=fixed-range-strip+resolved-toggle	desktop=renders
status.wave28.predict-futures.tsv	7	Skai > Predict > sports > Futures > Samp	mobile=fixed-range-strip+resolved-toggle	mobile=renders
status.wave28.predict-futures.tsv	8	Skai > Predict > sports > Futures > Samp	mobile=fixed-range-strip+resolved-toggle	mobile=renders
status.wave28.predict-futures.tsv	9	Skai > Predict > sports > Futures > Samp	mobile=fixed-range-strip+resolved-toggle	mobile=renders
status.wave28.predict-futures.tsv	10	Skai > Predict > sports > Futures > Samp	mobile=fixed-range-strip+resolved-toggle	mobile=renders
status.wave28.predict-futures.tsv	11	Skai > Predict > sports > Futures > Samp	mobile=fixed-range-strip+resolved-toggle	mobile=renders
status.wave28.predict-futures.tsv	12	Skai > Predict > sports > Futures > Samp	tablet=fixed-range-strip+resolved-toggle	tablet=renders
status.wave28.predict-futures.tsv	13	Skai > Predict > sports > Futures > Samp	tablet=fixed-range-strip+resolved-toggle	tablet=renders
status.wave28.predict-futures.tsv	14	Skai > Predict > sports > Futures > Samp	tablet=fixed-range-strip+resolved-toggle	tablet=renders
status.wave28.predict-futures.tsv	15	Skai > Predict > sports > Futures > Samp	tablet=fixed-range-strip+resolved-toggle	tablet=renders
status.wave28.predict-futures.tsv	16	Skai > Predict > sports > Futures > Samp	tablet=fixed-range-strip+resolved-toggle	tablet=renders
status.wave28.social-feed.tsv	37	Create post - two images [10335-236021]	desktop=blocked tablet=n-a mobile=blocked	desktop=unknown tablet=n-a mobile=unknown
status.wave28.social-feed.tsv	38	Create post - two images [11527-291862]	mobile=blocked	mobile=unknown
status.wave28.social-feed.tsv	42	Cashtag ramp at 375 [11474-228114]	mobile=blocked	mobile=unknown
status.wave28.trade2-trench-a.tsv	8	Skai > Trench > Discover > Trending 1VH 	desktop=blocked mobile=n-a tablet=n-a @2026-09-06	desktop=unknown mobile=n-a tablet=n-a @2026-09-06
status.wave29.g-mines.tsv	3	9163-7972	desktop=fixed @2026-09-06/wave29-g-mines	desktop=renders @2026-09-06/wave29-g-mines
status.wave29.g-mines.tsv	4	9163-8481	mobile=fixed @2026-09-06/wave29-g-mines	mobile=renders @2026-09-06/wave29-g-mines
status.wave29.g-mines.tsv	5	9163-8621	mobile=fixed @2026-09-06/wave29-g-mines	mobile=renders @2026-09-06/wave29-g-mines
status.wave29.g-mines.tsv	6	9163-7155	desktop=fixed @2026-09-06/wave29-g-mines	desktop=renders @2026-09-06/wave29-g-mines
status.wave29.g-mines.tsv	7	9163-4529	desktop=match @2026-09-06/wave29-g-mines	desktop=renders @2026-09-06/wave29-g-mines
status.wave29.g-mines.tsv	8	9163-6955	mobile=match @2026-09-06/wave29-g-mines	mobile=renders @2026-09-06/wave29-g-mines
