# key	status	primaryFile	route	reason	bp
# Lane games-cards, wave 41, 2026-09-14. Sections blackjack, baccarat, video-poker, roulette, skratch; 49 frames, every
# one re-measured this pass (reMeasure: true on all of them), done rows included.
#
# HOW THEY WERE READ. Five get_metadata calls, one per page - 9003:112414 (Blackjack), 9737:13088 (Baccarat),
# 9737:13085 (Roulette), 9737:13087 (Video Poker), 9003:133221 (Scratchers) - each returning the whole subtree, so all 49
# frames and every descendant were read LIVE this run rather than cited. Three get_design_context calls went deeper where
# fills, radii and type mattered: 9178:9840 (the phone board), 9003:119993 (the phone bet panel) and 11746:16484 (the
# phone paytable strip).
#
# THE 09-10 REDRAW, MEASURED. Four of the five games had their phone surfaces replaced by full-bleed 375 ones and one
# did not:
#   blackjack   board 9178:9840 347x410 -> 375x410; panel 9178:10465 347x464 -> 375x498; page 9003:119858 -> 375x3255
#   scratchers  board 11746:16472 375x439 (was 9212:24967 347x410); panels 9212:24729 375x350, 9212:24822 375x670
#   baccarat    board 9873:722 375x307, panel 9873:584 375x316 on page 9799:18183 (375x3128)
#   video-poker board 9760:10103 375x353, panel 9738:13908 375x176 on page 9738:13811 (375x3058)
#   roulette    board 10250:14683 375x370, panel 10250:15010 375x316 - already fitted on 2026-09-11, re-verified here
# The old 347 standalone frames (9903:4652, 10250:14562, 9760:9691, 9760:9933, 9621:1282) were left on the canvas and are
# superseded; each says so in its row. Every 1440, 768 and 954x621 frame is byte-identical in geometry to its last read.
#
# NO BROWSER WAS USED (wave rule). Every verdict is resolved from the source against node data read live this run; a
# `done` row states the frame numbers and the constant that resolves them, and nothing claims a DOM measurement.
#
# CASEY RULING 090e759d (2026-09-14) is carried in the two Roulette page rows: under Bet the panel keeps only the Your
# Bets total card. Clear, Repeat and Last spins were removed in fc374924; no bet, settle or payout line was touched and
# neither control lost its only route.
Desktop [9799-19202]	done	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	RE-READ LIVE off page 9737:13088 and UNCHANGED by the 09-10 pass: 954x621, deck 9799:19203 130x143.684 at (764,-72), ribbon group 9825:21261 302x69 at (326,276), bet-cell row 9815:19448 735x110 at (109,461), hands 9825:20829 579x208.12 at (188,51), the two attribution rows 58x18 at (25,578) and 56x18 at (873,578). Every one of those is the number the shipped ratios resolve at a 952 content box, so the wave-37 verdict stands against the frame as it is drawn today.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop [9815-19487]	partial	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	RE-READ LIVE, unchanged at 954x621, and the wave-37 residual is confirmed rather than closed: the pre-deal hand divider 9825:20835 is 2x116 at (476,102) on THIS frame while the code derives 2.448x142 from the dealt frame 9825:21479 and draws one height for both states; the caption row 9825:20837 is 579x26 at (187,55) against the dealt frame's 579x208.12 at (188,51). Neither has a ruling. Deck, ribbon, bet row and attributions are identical to 9799-19202.	1440=partial 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop [9820-20610]	done	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	RE-READ LIVE, unchanged: 954x621 with the win card 9820:20811 159x125 at (397.5,248) centred ON the ribbon group (302x69 at 326,276) and covering it, which is how the code stacks them. Deck, bet row, hands and attributions identical to 9799-19202 to the pixel.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop [10250-14407]	done	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	RE-READ LIVE. Still a second drawing of 9799:19202 rather than a new state: deck 130x143.684 at (764,-72), ribbon 302x69 at (326,276), bet row 735x110 at (109,461), hands 579x208.12 at (188,51), attributions 58x18 at (25,578) and 56x18 at (873,578) - identical to 3dp, only the node ids differ.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Skai > Play > Casino > Baccarat (1440 x 900px) [9799-16713]	partial	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	RE-READ LIVE and UNCHANGED at 1440x3294. The felt carries the deck fix; the page column below the widget is still unbuilt because Baccarat is the one game of the five with no *PageSections.tsx and no /play/baccarat route - it is reachable only as a modal from Play.tsx / PlayTable.tsx, both off limits to this lane. HAND-OFF: needs a BaccaratPageSections.tsx plus the route registration (routedGamePaths.ts and src/App.tsx, play-hub lane).	1440=partial 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Skai > Play > Casino > Baccarat (375 x 812px) [9799-18183]	partial	modules/skai-gaming/src/components/play/games/cards/BaccaratGame.tsx	- (modal only)	REBUILT FULL-BLEED BY THE 09-10 PASS AND RE-READ LIVE: 375x3128 (was 1605). The bento 9799:18194 sits at x=0, 375 wide, and both children are the full 375 - board 9873:722 375x307 and panel 9873:584 375x316, 8 apart - where the old cut inset a 347 column. The board's content did not move: the deck stack 9873:724 is at x=281.762 where the 347 frame had it at 267.762, exactly +14; the bet-cell row 9873:770 is 343 at x=16 with three 109-wide cells at pitch 117. FIXED THIS PASS (e2df0b16): the panel drops its 12/12 card for the frame's 16-by-12 inset and no corner, so its column is the frame's 343. STILL OPEN, and it needs a container ruling first: the felt's CARD_UNIT is clamp(26px, 15.046cqw, 90.732px), fitted to the 323-wide board the dialog gives it (w-[95vw] at a 375 viewport), where the frame's card 9873:792 is 48.591 on a 373 content box = 13.0271cqw. Refitting the share without first taking the dialog full-bleed below lg would shrink the modal's card to 42. The title row here is also the only one of the five drawn at x=23.5 w=328 rather than 16/343.	1440=n-a 768=n-a 375=partial @2026-09-14/wave41-games-cards
Desktop [9178-4169]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	RE-READ LIVE off page 9003:112414 and UNCHANGED: 954x621 with exactly two children - deck 9178:4215 130x143.684 at (764,-72) and hands 9178:5864 492.2396x491.1425 at (230.88,65). Both are what the shipped constants resolve at a 952 content box (DECK_UNIT capped at 91.684, the hand column centred), so the card, pill and shadow measurements recorded 2026-09-01 stand against today's frame.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop [9178-10677]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	RE-READ LIVE, unchanged: 954x621, deck at (764,-72) 130x143.684, hands 9178:10724 492.2396x491.1425 at (230.88,65) - the same box as 9178-4169, so the winning-hand ring and the #17F9B4 total pill sit on geometry this lane re-verified rather than cited.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop [9178-12508]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	RE-READ LIVE, unchanged: 954x621, deck at (764,-72), hands 9178:12555 492.2396x491.1425 at (230.88,65). The losing set (three #FF574A strokes on the player, none on the dealer) is drawn on the same box as the winning one, which is what BJ.lose does.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop Split [9178-6080]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	RE-READ LIVE, unchanged: 954x621 with the hands column 9178:6127 578.7262x491.1425 at (188,65) - 86.5 wider than the single-hand 492.2396, which is the 200px split gap plus the second hand. SPLIT_GAP min(21.0084cqw, 200px) resolves 199.98 at a 952 content box.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Desktop Start [9178-8146]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	RE-READ LIVE, unchanged: 954x621, deck 9178:8147 130x143.684 at (764,-72) and hands 9178:8193 492.2396x491 at (230.88,65) with the dealer hidden. The 1px difference in column height against the dealt frames is the hidden dealer row, not a layout change.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Mid Game button actions [9178-4037]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBetPanel.tsx	/play/blackjack	RE-READ LIVE and UNCHANGED at 356x621: content column 324 at x=16, ladder 16 (tab strip 324x42) - 74 (stake block 324x90) - 180 (2x2 actions 324x96) - 292 (CTA 324x52), every seam +16 and the last row ending 344. That is the desktop order the panel ships (tabs first, CTA last) at the desktop padding, which this pass left alone; only the phone cut moved.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Mobile [9178-9840]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBoard.tsx	/play/blackjack	REDRAWN 347x410 to 375x410 BY THE 09-10 PASS, RE-READ LIVE AND REFITTED THIS PASS (89751b55). The board is bg #001615 with a 1px white/10 hairline and NO corner, so BlackjackBoard drops its 12px phone radius and takes it from md. The content did not move while the container grew 28: deck 9178:9905 still at left 258 top -41 one border in, hands 9178:10061 313x314 centred, card 9178:10064 57.804x90.589 r8.628 pad 4.314 rank 17.255, inter-card gap 5.033, column gap 11.879, ribbon 313.601x55.914, total pill 30x15 r6 #123F3C on a 0.629 white/30 hairline. Every cqw coefficient was refitted from a 345 content box to 373: CARD_UNIT clamp(34px, calc(22.102128cqw - 24.6369px), 90.732px) resolves 57.804 at 373 and 68.192 at the 420 tablet column; DECK_UNIT clamp(30px, calc(19.43617cqw - 21.0129px), 91.684px) resolves 51.484 and 60.619; HAND_GAP min(3.18472cqw, 19.749px) resolves 11.879; the deck's left calc(87.21934cqw - 67.3281px) lands 258 at 373 and 763 at 952. The superseded fit drew the card at 61.68 (6.7% oversize) and the deck 23px right of the frame.	1440=n-a 768=n-a 375=done @2026-09-14/wave41-games-cards
Side Bet Mobile [9178-10465]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBetPanel.tsx	/play/blackjack	REDRAWN 347x464 to 375x498 AND RE-READ LIVE; FIXED THIS PASS (89751b55). Full-bleed, every row at x=16 on a 343 column: ladder 12 (2x2 action grid 343x92, two 343x42 rows 8 apart) - 120 (CTA 343x52) - 188 (stake block 343x84) - 288 (Perfect Pairs 343x62) - 366 (21+3 343x62) - 444 (mode track 343x42, two 165.5x34 halves inset 4), 444+42+12 = 498. The panel now draws px-4 py-3 with no corner instead of a 12/12 card, which puts its column on 343; the 40 field height (9178:10636 343x40), the tab halves at (343-8-4)/2 = 165.5, the 8px action seam and the mode-track-last order were already right.	1440=n-a 768=n-a 375=done @2026-09-14/wave41-games-cards
Side Bet Tab [9178-8446]	done	modules/skai-gaming/src/components/play/games/cards/blackjack/BlackjackBetPanel.tsx	/play/blackjack	RE-READ LIVE and UNCHANGED at 356x621: 324 column at x=16, ladder 16 (tabs 42) - 74 (stake 90) - 180 (Perfect Pairs 66) - 262 (21+3 66) - 344 (2x2 actions 96) - 456 (CTA 52), every seam +16. This is the desktop ordering the component ships and the padding this pass did not touch; only the base (phone) padding and radius moved, both behind md.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Skai > Play > Casino > Blackjack (1440 x 900px) [9003-117337]	done	modules/skai-gaming/src/components/play/games/cards/BlackjackGame.tsx	/play/blackjack	RE-READ LIVE and UNCHANGED at 1440x3294. Nothing this pass reaches 1440: the board's corner step, the panel's padding and the card unit's cap are all the desktop values they were, and the refitted line passes 90.732 at a 522 content box so the 952 board still draws the frame's card exactly. The standing frame-defect rows (status.wave3.frame-defects.tsv) coexist with this verdict by SCHEMA - different scopes on one frame.	1440=done 768=n-a 375=n-a @2026-09-14/wave41-games-cards
Skai > Play > Casino > Blackjack (375 x 812px) [9003-119858]	partial	modules/skai-gaming/src/components/play/games/cards/BlackjackGame.tsx	/play/blackjack	REBUILT FULL-BLEED AND RE-READ LIVE: 375x3255 (was 1605). Frame 1000004107 holds the title row 9003:119862 343x32 at x=16 and the bento 9003:119882 at x=0 375 wide; inside it Frame 271 stacks the board 9178:10354 (375x410) over the panel 9003:119993 (375x342) 8 apart. The panel read whole with get_design_context: bg #122524, gap 16, px 16, py 12, NO radius, shadow 0 10px 80px rgba(0,0,0,0.25); ladder 12 (2x2 actions 343x92) - 120 (CTA 343x52) - 188 (stake 343x84) - 288 (mode track 343x42). Action buttons 167.5x42 r8 on rgba(0,22,21,0.8) with a 24px glyph and Manrope Regular 12/14 -0.48px; stake field r12 pad 12 on #001615; chips #123F3C px14 py8 with the outer corners only; tabs active r10 #56C7F3 with #001615 text. All of that is now what the widget draws (89751b55). STILL OPEN: the page column below the bento - Main container 11731:5954 343x254, 11731:6062 343x204, the rule at y=2004 and Frame 642 343x1097 - was not re-measured this pass; it is BlackjackPageSections.tsx.	1440=n-a 768=n-a 375=partial @2026-09-14/wave41-games-cards
Skai > Play > Casino > Blackjack (768 x 1024px) [9003-118852]	partial	modules/skai-gaming/src/pages/play/BlackjackPageSections.tsx	/play/blackjack	RE-READ LIVE and UNCHANGED at 768x1627: bento 9003:118855 708 wide at (30,84), Frame 271 468 wide at x=120 stacking the board over the panel, card group 708x698 below. The widget's row hinges at lg so 768 stacks as drawn, which is the fix wave 37 landed and this pass preserved (the phone padding change is p-0 sm:p-3, so 768 keeps its 12). STILL OPEN: the board is w-full inside the 708 bento rather than scoped to the frame's 468 column at this cut.	1440=n-a 768=partial 375=n-a @2026-09-14/wave41-games-cards
Skai > Play > Casino > Blackjack (768 x 1024px) [9003-119356]	partial	modules/skai-gaming/src/pages/play/BlackjackPageSections.tsx	/play/blackjack	RE-READ LIVE and UNCHANGED at 768x1607: bento 708 at (30,84) with Frame 271 422 wide at x=143 - one centred 422 column, board over panel. This is the cut the board's 420 content-box anchor is fitted to, and the refit this pass left that anchor exactly where it was (CARD_UNIT still resolves 68.192 at 420, DECK_UNIT 60.619). STILL OPEN: the widget gives the 768 board the full 708 bento rather than the frame's centred 422 column.	1440=n-a 768=partial 375=n-a @2026-09-14/wave41-games-cards
Mobile [9903-4652]	frame-defect	modules/skai-gaming/src/components/play/games/instant/RoulettePro.tsx	/play/roulette	RE-READ LIVE off page 9737:13085 and TWICE WRONG. (1) It is still 347x247 - the pre-09-10 inset drawing, superseded by the full-bleed 10250:14683 (375x370) that the 375 page cut 9799:15822 actually embeds; a 347 phone board is not built at any width any more. (2) It carries the same even-money mislabel as every other Roulette frame: 1 to 18 occurs ZERO times anywhere on this page while 13 to 24 occurs 19 times (9 dozen chips, 9 mislabelled low-half slots and the standalone chip 9903:1150), so the low-half cell prints the second dozen's label. ROULETTE_EVEN_MONEY_LABELS[0] reads 1 to 18 and is right.	1440=n-a 768=n-a 375=broken @2026-09-14/wave41-games-cards
Mobile [10250-14562]	frame-defect	modules/skai-gaming/src/components/play/games/instant/RoulettePro.tsx	/play/roulette	RE-READ LIVE: still 347x347, still the superseded inset drawing - the 375 page cut embeds 10250:14683 (375x370, wheel 200x200 at x=87, table 343 at x=16) instead, which is the board the widget was fitted to on 09-11. The 13 to 24 low-half mislabel is confirmed live by the page-wide count above. Nothing to build from this frame.	1440=n-a 768=n-a 375=broken @2026-09-14/wave41-games-cards
Skai > Play > Casino > Roulette (1440 x 900px) [9799-15067]	partial	modules/skai-gaming/src/pages/play/RoulettePageSections.tsx	/play/roulette	RE-READ LIVE and UNCHANGED at 1440x3294. Casey's ruling 090e759d landed here (fc374924): under Bet the panel now carries only the Your Bets total card - Clear, Repeat and the Last-spins history were removed, which is what 9903:2270 draws. Neither control lost its only route (Clear is still the board footer 9903:2191 and the C key, Repeat still R) and no bet, settle or payout line was touched. STILL OPEN from wave 29: the wheel numerals sit at r=84 where the frame's radial scan puts them further out.	1440=partial 768=n-a 375=n-a @2026-09-14/wave41-games-cards
