# key	status	primaryFile	route	reason	bp
Skai > Wallet > continue on web > home > account > logout 1VH (768 x 1024px) [13008-44305]	done	modules/skai-wallet/src/shell/LogoutConfirmModal.tsx	/account	PROMOTED FROM partial - the overlay subtree 44361-44376 is now measured on all three axes and four defects are fixed. TITLE LIES ABOUT THE BREAKPOINT (says 768x1024, node is 375x812), so every number here is a 375 reading. GEOMETRY: Overlay 44361 375x812; modal 44362 354x238 at x11 (375-354-11=10) r16 p12 gap20; controls 44364 330x16 with the close glyph 44365 16x16 at x314; copy 44369 330x62 V gap8; Frame 203 44374 330x96 V gap8 holding two 330x44 CTAs r12 p14/16/14/16 with itemSpacing 12. The column sums exactly: 12+16+20+62+20+96+12 = 238. Code ships rounded-xl=16, p-3=12, gap-5=20, gap-2=8, h-11=44, rounded-lg=12 - all six exact under this modules own tailwind.config.ts (sm4 md8 lg12 xl16 2xl24). FIXED the width: ModalScrim defaults to p-4, which drew the panel 375-32=343 against the frames 354, so the scrim override now carries p-[10px] sm:p-4 = 355. COLOUR: overlay #001615@0.44 over BACKGROUND_BLUR radius 5 = 2.5px CSS by the 2x rule, and the code already shipped bg-[rgba(0,22,21,0.44)] backdrop-blur-[2.5px] - exact; modal #122524 (--skai-bg-secondary) stroke #123f3c w1 (--skai-bg-tertiary) shadow 0/10/80 #000000@0.25 - exact; CTA1 #001615 stroke #56c7f3 w1, CTA2 #56c7f3 with a #001615 label - exact. TYPE: heading 44370 Manrope Regular 18/22 ls-4% #ffffff (code text-lg leading-[22px], and preflight resets h2 weight to inherit so Regular is what paints); body 44372 Manrope Regular 14/16 #e0e0e0 - FIXED from leading-[18px] to leading-4; both CTA labels Manrope Regular 14/16 - FIXED from leading-[18px]. ORDER FIXED: 44375 (outlined Yes, logout) is at y0 and 44376 (filled) at y52, and flex-col-reverse had put the destructive action at the bottom of the stack; now flex-col, DOM order unchanged so focus order and sm:flex-row are untouched. CTA gap FIXED 10 to 12. Note 44363 shine is a 484x484 #17f9b4 op0.19 ellipse at -150,-676 relative to the modal, i.e. entirely above its top edge and clipped - it paints nothing, so its absence from the code is not a gap.	mobile=done
Token allocation - empty [13008-37778]	partial	modules/skai-wallet/src/components/wallet/insights/TokenAllocation.tsx	/ -> openModal(insights)	THE STRAY HAIRLINE IS FIXED AND THE CARD CHROME IS NOW EXACT ON ALL THREE AXES; THE EMPTY STATE ITSELF IS UNBUILT. Root 680x414 r24 V gap16 p16 fill #052d2d, DROP_SHADOW 0/10/80 #000000@0.25, and NO stroke - the border border-[var(--skai-bg-tertiary)] the code carried is the field treatment (13008:29067 and 52080 are the cards that really draw it), not the surface one. REMOVED. rounded-3xl has no key in modules/skai-wallet/tailwind.config.ts:78-86, so it falls through to Tailwind stock 24 and lands on r24; shadow string is byte-exact. Divider 37802 is a 648x0 vector stroked #123f3c w1 sitting 16 below Frame 177 and 16 above Frame 275 - code h-px bg-[var(--skai-bg-tertiary)] my-4, exact on all three. Stats row 37803 648x70 H gap4 with three 213.33 columns pitched 217.33, each V gap4 - code flex gap-1 with flex-1 columns and gap-1 inside. TYPE measured node by node: labels 37805/37810 Mulish Regular 14/18 ls-4% #95a09f, values 37807/37812/37819 Mulish Regular 22/26 ls-4% #ffffff, percents 37808/37813/37820 Mulish Regular 14/18 #95a09f - code font-mulish text-sm leading-[18px] tracking-[-0.56px] and text-[22px] leading-[26px] tracking-[-0.88px], both -4% of their own size, exact. HELD PARTIAL for a reason the previous pass did not name: this frame is the EMPTY variant and the component has no empty branch. 37789 is a 200x200 placeholder ellipse #95a09f at op0.44 with a #56c7f3@0.12 24-blur, centred in the 316x240 chart panel, and 37797 is a 330x66 description block where the code always renders the token legend. With tokens=[] the code paints a blank 240px box. Also note 37807/37812/37819 read a literal dash for the missing value, which is the frames own version of omitted-is-not-zero, while the code colours the percent green or red unconditionally.	desktop=partial
Skai > Wallet > continue on web > home > bridge 1VH (1440 x 900px) [13008-29589]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	THE OUTER-PANEL DIVERGENCE THE PREVIOUS PASS HELD THIS ON IS BUILT; THREE NAMED RESIDUALS REMAIN. Still the BACKUP screen, not bridge - breadcrumb 29607 reads Backup. MEASURED THIS PASS, node by node. Main container 29603 738x640 at x90,y104, V gap16. Header row 29604 738x36 H gap10: a 24x24 chevron then Frame 346 29606 704x36 SPACE_BETWEEN carrying the heading 29607 Manrope Light 32/36 ls-4% #ffffff and a gear 29609 at opacity 0.00. The row was spread with justify-between, which CENTRED the heading; it is now a left row at gap10, and the two 44px hit areas are pulled out of the row height with -my-1 so the row measures 36 instead of 44. PANEL BUILT: 29611 Frame 270 738x588 r24 V gap40 p16 #122524 now wraps the label, wallet row, divider, warning, acknowledgement and buttons, which shipped as five loose blocks on the page ground with three of them glass cards at r24. Inside it, top 29612 706x452 V gap16. Label 29616 Manrope Regular 18/24 #ffffff - was text-sm font-medium in Ash. Chip 29620 706x56 r16 V gap10 p8/16/8/8 fill #052d2d, no stroke; inner 29621 682x40 SPACE_BETWEEN, left 29622 241x40 H gap16 with a 40x40 avatar and Frame 379 29627 185x18 H gap8 holding name 29628 Mulish Regular 14/18 #ffffff BESIDE address 29629 Mulish Regular 14/18 #95a09f - the code stacked them; pencil 16x16, its 44px target now pulled out with -my-0.5. Divider 29631 706x0 stroke #123f3c w1 - was missing entirely. Warning 29632 706x284 r16 H gap16 p12/20/12/16 fill #fb3324 at 16% with NO stroke; header 29636 Manrope Bold 16/22 #ffffff, 16px glyph at gap6; body 29638 14/18 #e0e0e0 four below. The code mixed --skai-red #FF574A at 15% and added a 40% border. Ack 29640 706x24 H gap14, box 29641 24x24 r8 #000000 stroke #123f3c w1.333, label 29642 Manrope Regular 14/18 #e0e0e0. CTA row 29643 706x64 H gap10, two 348x64 r16 p20/40 gap10 with 24px glyphs and Manrope Regular 16/22 labels. Right column: 29687 432x80 at x860,y156 V gap8, heading 29689 Manrope Regular 24/28 #ffffff, body 29691 Manrope Regular 16/22 #e0e0e0 op0.64, and it is NOT a card at this width; list 29671 327x128 at y260 V gap12, five 327x16 rows, Mulish Regular 14/16 #ffffff. Gutter arithmetic 90+738=828, 860-828=32, 738+32+432=1202 matches the shipped lg:max-w-[1202px] grid exactly. RESIDUALS, all three named rather than guessed: (1) the five checklist bullets say an MPC key cannot be exported, which report 39b9a575 established is FALSE for an in-app wallet - the copy stays correct and the frame is the thing that is stale; (2) the gear is opacity 0 on all three boards and the app renders it, because it is the only route to the wallet details screen; (3) the avatar carries a 16x16 #001615 chain badge 29625 with a Base logo where the app draws a 12px sky-blue status dot.	desktop=partial
Skai > Wallet > continue on web > home > bridge 1VH (768 x 1024px) [13008-49184]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	SAME SCREEN AT 768, AND IT PINS THE MIDDLE OF EVERY RAMP. Main container 49186 580x569 at x94,y76 (768-580-94=94, symmetric) V gap16. Header 49187 580x28 with heading 49190 Manrope Light 24/28 ls-4%. PANEL 49194 580x525 r12 V gap32 p12 #122524 - built this pass; top 49195 556x419 V gap16; label row 49196 556x19, which is Manrope AUTO at 14 (18.048), the same value NetWorthCard measured at this width. Chip 49203 556x56 r12 V gap10 p8/16/8/8 #052d2d. Divider 49214 556x0 #123f3c w1. Warning 49215 556x256 r12 H gap16 p12/20/12/12 fill #fb3324 at 16%. Ack 49223 556x24 gap14. CTA row 49226 556x50 H gap10, two 273x50 r12 p20/40 (273+10+273=556). Right column: 49270 580x66 at y657 V gap8, heading 49272 Manrope Regular 18/22, body 49274 Manrope Regular 14/18 #e0e0e0 op0.64, no card; list 49254 580x148 at y735 V gap12, five 580x20 rows, Mulish Regular 16/20 #ffffff - LARGER than the 1440 list at 14/16, which is why a flat size was wrong in both directions. So the panel ramp reads r12/r12/r24, pad 12/12/16, gap 24/32/40 and the code now carries all three as pixel literals. Same three residuals as 13008-29589.	tablet=partial
Skai > Wallet > continue on web > home > bridge 1VH (375 x 812px) [13008-54309]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	SAME SCREEN AT 375, AND IT PINS THE BASE OF EVERY RAMP. Main container 54310 346x430 at x15,y64 V gap16 - the boards 15/14 gutter. Header 54311 346x28, heading 54314 Manrope Light 20/24. PANEL 54318 346x324 r12 V gap24 p12 #122524; top 54319 322x178 V gap12 - note 12, where 768 and 1440 both use 16. Label row 54320 322x18. Chip 54327 322x48 r12 p8/16/8/8 #052d2d with a 32x32 avatar (54330), not the 40 the two larger boards draw, and Frame 379 54334 160x14 H gap8. Divider 54338 322x0. Warning 54339 322x40 r12 p12/16/12/12 - COLLAPSED at this width, which is why it is 40 tall and not 256. Ack 54347 322x24 gap14, box 54348 24x24 r8 #000000 stroke #123f3c w1.333, label 54349 Manrope Regular 12/14 #e0e0e0. CTA row 54350 322x98 VERTICAL gap10, two 322x44 r12 p20/40 gap6, labels Manrope Regular 14/16 - the row was breaking to horizontal at sm (640), 128px before the frames do it, and was spaced 12. Your Wallet Type 54353 346x46 r12 H gap16 p12 #122524, collapsed to heading 54356 Manrope Regular 18/22 plus a 16x16 chevron - and it IS a card here where 49270 and 29687 are bare text, which is now a base-only treatment. FOURTH CORROBORATION of the 12/12/16 CTA radius and 44/50/64 height ramp on this page. Same three residuals as 13008-29589, plus a state one: the frame draws the warning collapsed at this width and the component opens it by default.	mobile=partial
Skai > Wallet > continue on web > home > bridge 1VH (375 x 812px) [13008-54216]	partial	modules/skai-wallet/src/components/WalletBackup.tsx	/ -> backup	THE SAME 375 SCREEN WITH Your Wallet Type EXPANDED, AND THE TITLE LIES ABOUT THE HEIGHT: it says 812, the node is 950. Everything measured on 13008-54309 holds here and was checked independently on this frame: Main container 346 at x15, header 28 with heading 54221 Manrope Light 20/24, panel r12 p12 gap24, CTA pair 54258/54259 322x44 r12 stacked at gap10. The difference is 54260, a 346x238 r12 p12 #122524 card carrying Your Wallet Type 54263 Manrope Regular 18/22, body 54266 Manrope Regular 14/16 #e0e0e0 op0.64 and the five-line checklist 54267 at gap12 over 16px rows. The checklist is now Mulish with a 12/14 base and the card is a base-only treatment, so the shape is right; what remains is the same three residuals as 13008-29589 - and here the checklist COPY residual is the whole visible content of the card, so this is the frame on which that hold costs the most.	mobile=partial
dropdown - start scroll [13008-38846]	partial	modules/skai-wallet/src/components/RecipientSearch.tsx	/ -> openModal(send)	COLOUR CLOSED, ONE STRUCTURAL RESIDUAL LEFT AND IT IS A TAP TARGET. Frame 647x504 r16 H gap8 p8 fill #122524 stroke #123f3c w1, DROP_SHADOW 0/4/12 #000000 at 24%. RecipientSearch.tsx:496 ships rounded-[12px] md:rounded-[16px] p-2 max-h-[452px] md:max-h-[504px] with shadow-[0_4px_12px_rgba(0,0,0,0.24)] - radius, inset, cap and shadow all exact at md and up, and the shadow string is byte-identical. Rows: content 38848 615x40 H p4/16/4/16 with primaryAxisAlignItems SPACE_BETWEEN, so the itemSpacing 8 the node reports is INERT and cannot be compared. Code px-3 lg:px-4 py-1 = 12/16 and 4, exact. TYPE: the index column 38850 is Mulish Regular 12/16 at -4% in #ffffff and shipped --text-primary, which styles.css:97 resolves to #E0E0E0 - FIXED to text-white with the -4% tracking it was also missing. The follow column was already correct in the tree: 38881 following #56c7f3 and 38872/38908/38935 dash #ffffff, both at Mulish Regular 14/18. RESIDUAL, and it is one number: the frame separates rows 8 / hairline / 8 for a pitch of 56 over a 40-tall row, while the code draws the hairline as the row own bottom border over a min-h-[44px] row, pitch 45. Closing the 8/8 is easy; the 40 is not, because 44 is a deliberate hold on the control that chooses where money goes and shrinking it is a behaviour change rather than a restyle. Also unbuilt: the drawn scroll rail 38962, an 8-wide 488-long r9999 #001615 track with a 174x4 r6 #123f3c thumb, where the app uses the UA scrollbar.	desktop=partial
dropdown - start scroll [13008-40776]	partial	modules/skai-wallet/src/components/RecipientSearch.tsx	/ -> openModal(send)	THE 768 MEMBER. 548x504 r16 #122524 - same height and same radius as the 1440 sibling 13008-38846 (647x504), so the dropdown radius does not ramp between 768 and 1440 and only the width does. Code rounded-[12px] md:rounded-[16px] with max-h-[452px] md:max-h-[504px] matches both the radius and the 504 cap from md up, and the row inset p4/12 matches px-3 py-1. Same index-column colour fix as 13008-38846 applies here, since the column is one component. Same two residuals: the 40-vs-44 row height with its 8/hairline/8 separation, and the drawn scroll rail.	tablet=partial
dropdown - start scroll [13008-41886]	partial	modules/skai-wallet/src/components/RecipientSearch.tsx	/ -> openModal(send)	THE 375 MEMBER, AND IT PINS THE BASE. 322x452 r12 #122524 - r12 and 452, exactly the rounded-[12px] and max-h-[452px] the code ships at base. Across the trio the frames read 322/r12/452 - 548/r16/504 - 647/r16/504 and RecipientSearch.tsx:496 matches all six numbers, which is the strongest single agreement on this surface. Index column now #ffffff at Mulish 12/16 -4%, matching 13008:41888 own runs. Same two residuals as its siblings.	mobile=partial
Skai > Wallet > continue on web > home > share - Expand 1VH (768 x 1024px) [13008-47971]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card) -> expand	THE COLOUR HOLD THE PREVIOUS PASS LEFT OPEN IS RESOLVED AGAINST THE NODE, AND TWO TYPE DEFECTS WERE FOUND WHILE DOING IT. Overlay 48776 is 768x1024 at #001615 alpha 0.44 and it is the frame ONLY veil over the share screen - the sheet behind it stays visible. The code painted bg-black/90 on top of ModalScrim own 0.44, so the composite over the sheet was near opaque; it now takes the same rgba(0,22,21,0.44) and the sheet reads through at exactly the frame alpha. Header 48779 720x36 at 24,24 H gap10 (768-48=720): back glyph 24x24, Frame 346 48783 484x22 with the title 48784 Manrope Regular 18/22 at -4% #ffffff, expand glyph 48786 24x24, CTA 48787 158x36 r8 H gap8 p6/40 fill #56c7f3 with label 48789 Manrope Regular 12/16 #001615. The code shipped inset-x-6 top-6 h-9 gap-2.5 rounded-[8px] w-[158px] - all exact - but carried the 1440 title 24/28 and a 14px CTA label flat, so BOTH were oversized at this width. FIXED as ramps, and the file own oracle was rewritten to assert base < lg rather than the flat 24/28 it used to pin. Active card 48777 640x640 at 64,192, centred both ways, code max-w-[640px] inside p-6. RESIDUAL, one number: the expanded card 48778 is r16 where the sheet card at this width is r12 (13008:45566), and the component renders one cardPreview in both places - now ramped 12 at base and 24 at lg off 13008:52173 / 45566 / 32487, so the fullscreen view at 768 is 4px under. The 1440 expanded frame has not been read, so a base-only override would be guessing at the other end of that ramp.	tablet=partial
Skai > Wallet > continue on web > home > share 1VH (375 x 812px) [13008-51352]	partial	modules/skai-wallet/src/components/ShareCard.tsx	/ -> openModal(share-card)	THE PANEL ROWS THE PREVIOUS PASS DID NOT MEASURE ARE MEASURED, AND THEY CARRY A CASEY-LEVEL DISAGREEMENT. Panel 52077 346x402 r12 V gap24 p12 #122524 - code rounded-[12px] p-3 bg-[var(--skai-bg-secondary)], exact on all three. Inside: search-tokens block 52078 322x310 V gap20. Thumbnail card 52080 322x68 r12 V gap10 p8 fill #052d2d stroke #123f3c w1, inner 52081 306x52 SPACE_BETWEEN with a 52x52 r12 thumb (52082, stroke #123f3c) and a 95x44 r12 p14/24 CTA at #001615 alpha 0.80. The code ships rounded-xl (16 in this module) on a bg-white/[0.03] fill with no stroke, and its full-screen button is h-12 (48) with a 24px glyph and a full label where the frame draws 95x44. Theme block 52084 322x84 V gap16: label 52087 Select theme Manrope Regular 12/14 #ffffff, then 52091 322x54 holding ONE full-width 322x54 r12 #56c7f3 row (52092, H gap8 p8/16) - a SELECT, with its open list drawn as 52117 dropdown-3 322x140 r12 p6 gap8 #122524 stroke #123f3c over four 310x26 r4 p6/8 options at Manrope Regular 12/14, the chosen one filled #123f3c. Include block 52098 322x118 V gap16: label 52100 Include: Manrope Regular 12/14, options 52101 322x88 V gap8 over three 322x24 rows each ending in a 40.59x24 toggle. CTA row 52130 322x44 H gap8, two 157x44 r12 p20/40 gap10, labels Manrope Regular 14/16 (Copy #ffffff on #001615 stroke #56c7f3 w1.5; Share card on X #001615 on #56c7f3). ESCALATION, NOT A LANE CALL: the 375 board draws the theme picker as a one-row select plus a dropdown, and the app draws four side-by-side tiles - a shape three closed reports drove it to (cbb28f64 tile gaps and the enclosed tick, 3210ba8c the label colour and size, and the h-[54px] tile height). Rebuilding it as a select would reverse all three. The section labels are the same question in miniature: 3210ba8c set them to Manrope Regular 14/18 off 7491:148681, and this board own labels are 12/14.	mobile=partial
