# The 139 frames live on Figma page 4914:113562 that registry.json did NOT hold before
# the 2026-08-20 re-harvest. Derived: ADDED rows of figma-todo.social-0821.tsv joined to
# social.live-0821.tsv. Regenerate, do not hand-edit.
# device is read from the TITLE, which is wrong on two rows — see the ★ notes in
# SOCIAL_LABEL_CORRECTIONS_2026-08-20.md. Trust the WxH column over the title.
# nodeId	type	WxH	x,y	device(from title)	live title
11530:303299	FRAME	160x124	37438,4001	-	dropdown - tridots
11530:303318	FRAME	160x124	40227,4001	-	dropdown - tridots
11530:303337	FRAME	200x196	40187,5201	-	dropdown - tridots - reply
11530:303366	FRAME	200x196	37398,5201	-	dropdown - tridots - reply
11530:303043	FRAME	220x160	6819,11538	-	dropdown-creators
11530:303066	FRAME	200x160	11752,11211	-	dropdown-creators
11530:302842	FRAME	220x196	6819,5074	-	dropdown-post select
11530:302866	FRAME	200x196	10977,5074	-	dropdown-post select
11530:303089	FRAME	220x196	6819,15285	-	dropdown-posts
11530:303116	FRAME	200x196	11752,15285	-	dropdown-posts
11530:303143	FRAME	220x160	6819,17273	-	dropdown-tokens
11530:303164	FRAME	200x160	11725,17273	-	dropdown-tokens
11530:303185	FRAME	220x196	6819,27838	-	dropdown-balances
11530:303236	FRAME	200x196	11752,27781	-	dropdown-balances
11530:303208	FRAME	220x160	6819,29327	-	dropdown-tokens
11530:303259	FRAME	200x160	11752,29327	-	dropdown-tokens
11530:303287	FRAME	220x88	6819,32784	-	dropdown-followers/following
11530:303293	FRAME	200x84	11752,32793	-	dropdown-followers/following
11529:293029	FRAME	220x160	26219,7552	-	dropdown-creators
11529:293244	FRAME	200x160	28803,7552	-	dropdown-creators
11530:302910	FRAME	120x224	6819,8692	-	dropdown-time
11530:302923	FRAME	120x212	11752,7974	-	dropdown-time
11530:302936	FRAME	180x116	5671,8788	-	dropdown-main
11530:302943	FRAME	160x110	11017,8068	-	dropdown-main
11530:303652	FRAME	375x812	40012,6401	mobile	Skai > Social > Messages > Sample Conversation > attachment 1VH (375 x 812px)
11526:290354	FRAME	375x812	51001,5201	mobile	Skai > Social > Groups - search > Discover 1VH (375 x 812px)
11526:290070	FRAME	375x812	51001,6401	mobile	Skai > Social > Groups - search > Created 1VH (375 x 812px)
11526:289885	FRAME	343x670	51491,11840	-	Members - with requests
11526:288877	FRAME	375x812	51001,2801	mobile	Skai > Social > Groups - search 1VH (375 x 812px)
11530:304239	FRAME	768x1024	47926,2801	tablet	Skai > Social > Groups - search 1VH (768 x 1024px)
11530:303909	FRAME	768x1024	36830,6401	desktop	Skai > Social > Messages > Sample Conversation > attachment 1VH (1440 x 900px)
11530:301774	FRAME	296x812	27489,4001	-	sidebar - open casino
11530:301872	FRAME	318x1024	24125,4001	-	sidebar - open casino
11526:290681	FRAME	768x1024	24543,2801	tablet	Skai > Social > Live 1VH (768 x 1024px)
11477:236128	FRAME	768x2036	24543,8752	tablet	Skai > Social > Live > Stream type modal > Sample stream (768 x 1024px)
11529:298704	FRAME	768x1409	25411,9180	tablet	Skai > Social > Live > Stream type modal > Sample stream > Stream viewers (768 x 1024px)
11529:292610	FRAME	708x396	25411,12790	-	Multi-panel - live chat
11529:292890	FRAME	708x404	25411,7552	-	Multi-panel - live chat
