Casino > New games [4714-31722]	partial	modules/skai-gaming/src/components/play/ui/PlayFilterBar.tsx	/play?filter=new	[DEFECT-SCOPE] [scope:in-scope] [was: frame-defect vs partial] NEITHER ROW IS WRONG - different scopes on one frame. status.wave3.frame-defects.tsv:11 is a frame-defect row that names every frame a drawn defect appears on; per SCHEMA frame-defect means the FRAME is wrong and the code is right, so it coexists with an implementation verdict rather than contradicting it. Implementation verdict 'partial' stands; the defect stays separately visible to design.
Sportsbook > Side panel [4913-97944]	blocked-on-backend	-	-	[RECLASSIFIED] [scope:in-scope] [was: blocked-on-backend vs not-started] Both rows agree NO code exists; they disagree on the CLASSIFICATION. SCHEMA reserves blocked-on-backend for 'buildable, no source exists' and requires the missing source be named - wave2.predict-play.tsv:55 names the revoked odds feed, play.tsv:22 names nothing. WRONG ROW: status.play.tsv:22 ('no citation and no redesign code found') is a pre-reclassification census line.
ALT [4595-50243]	not-started	—	—	[PROSE-DISCLAIMER] [scope:in-scope] [was: done vs not-started] WRONG ROW: status.play.tsv:1 is the (section root) row for /play and is `done` about the HUB, not this ALT. It names 4595-50243 only to DISCLAIM it - the hub was built from this coral ALT and corrected AWAY from it on 2026-08-06 to the landing frame's #862213. A disclaimer indexed as a claim. Both rows that actually assess the ALT (play.tsv:14, wave2.predict-play.tsv:47) say not-started; the latter argues DECLINE, not backlog.
Social [5100-183573]	done	src/pages/social/SocialFeed.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs partial] WRONG ROW: status.social.tsv:1 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins. ALSO: WRONG ROW: status.social.tsv:2 (subject 5101-186045) - the row's own SUBJECT is a different node, and it names this frame only as the container of, contrast to, or precedent for that subject. Subject read by the catalog's two stated conventions: an id in the family column, else an id opening the reason ('node 9640-213001 - ...'). A containment reference indexed as a verdict.
Social [10232-201644]	done	src/components/social/feed/CreateNewMenu.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs partial] WRONG ROW: status.social.tsv:3 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins.
Social > create post > drafts [10335-235331]	done	src/components/social/feed/DraftsDialog.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs not-started] WRONG ROW: status.social.tsv:75 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins. ALSO: WRONG ROW: status.social.tsv:76 (subject 10335-236189) - the row's own SUBJECT is a different node, and it names this frame only as the container of, contrast to, or precedent for that subject. Subject read by the catalog's two stated conventions: an id in the family column, else an id opening the reason ('node 9640-213001 - ...'). A containment reference indexed as a verdict.
Social > create post > drafts [10335-236189]	done	src/components/social/feed/DraftsDialog.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs not-started] WRONG ROW: status.social.tsv:76 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins.
Social > create post > empty [10328-215524]	done	src/components/social/feed/ComposePostDialog.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs partial] WRONG ROW: status.social.tsv:74 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins.
Social > create post [10335-233638]	done	src/components/social/feed/ComposePostDialog.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: done vs partial] WRONG ROW: status.social.tsv:72 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins.
Social > create post [10335-234351]	blocked-on-backend	src/components/social/feed/ComposePostDialog.tsx	/social	[SOCIAL-SUPERSEDED] [scope:in-scope] [was: blocked-on-backend vs partial] WRONG ROW: status.social.tsv:73 - status.social.tsv is the PRE-FIX census and every one of its verdicts rests on src/components/social/SocialTradingFeed.tsx being unmounted. VERIFIED 2026-08-26: SocialTradingFeed still has 0 JSX mounts, but the surface was rebuilt on DIFFERENT components, which do mount - SocialFeed(1), DiscoverFeed(1), DraftsDialog(1), CreateNewMenu(1), FeedCommentsDialog(1), StreamViewersPanel(1), StreamChatPopout(2), GroupFormSheet(2) - and /social is routed at src/App.tsx:1900. status.social.gaps.tsv is the post-fix record and wins.
Social > create story > prepare story [10324-107730]	not-started	—	—	[SUBJECT-ELSEWHERE] [scope:in-scope] [was: done vs not-started] WRONG ROW: status.wave2.social-a.tsv:23 (subject 10327-199048) - the row's own SUBJECT is a different node, and it names this frame only as the container of, contrast to, or precedent for that subject. Subject read by the catalog's two stated conventions: an id in the family column, else an id opening the reason ('node 9640-213001 - ...'). A containment reference indexed as a verdict.
