# key	status	primaryFile	route	reason	bp
# Wave 54, 2026-09-20, lane `sportsbook`. UI only by Casey's ruling - no
# bankroll, vig, odds, settlement or rail was touched, and nothing here reaches
# a money path. Rows are frames REACHED this pass; every other sportsbook row
# stands at its earlier verdict. Column 3 is one bare path.
#
# READS. Eight nodes were read live on 2026-09-20 in file 3sSzw1KewMtUbeLAv7uW0r:
# get_design_context on 11121:91242 (empty slip, 768), 11121:91489 (quick bet
# expanded, 768) and 11132:184503 (quick bet expanded, 375); get_metadata on
# 11130:119146 (the "content" row), 4896:83443 (the 432 system card),
# 11132:184572 (with values, 375), 11132:185337 (empty, 375) and 11220:166265
# (quick bet collapsed, 375). Where a row leans on wave 53's reading of
# 2026-09-19 it says so; the files were hash-checked tonight.
#
# THE FINDING THIS PASS TURNS ON. Every 768 slip body pads 90 at the bottom
# and every 375 body pads 66 - the band under the footer that the page boards
# put their bottom navigation in. Wave 53 read the 768 bodies as "pads 16" and
# closed 11121-90604 on that; the frame's own height only closes with the 90
# (592 = 50 + 16 + 436 + 90). It ships on both bodies now.
#
# No browser ran, so no row here claims a DOM-measured render.
#
11121-91242	done	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	CLOSED at 768, and the frame-defect question wave 53 raised is answered by the node itself. Read live whole with get_design_context. The rail closes as before: 4 + 8 + 32 + 6, right group 145.593, underline 11121:91256 at x=16 and 62 wide with no tag. BUILT the panel: 11121:91258 is a fixed 736x201 on #001615 at 0.44, radius 12, padded 24/16, and the 201 is 24 + a 16-tall empty row (11121:91259) + 16 + the 89-tall "middle" (11121:91261) + 16 + a 16-tall line + 24, so the copy block sits 56 from either edge; drawn as md:max-lg:h-[201px] flex-none with the block centred, and the description-to-CTA gap taken from the rail's 24 to the board's 16. Inside "middle": "No open bets yet" (11121:91263) is Manrope 14 at the 18.048 the Sub-headline 2 style carries, one rung under the 432 panel's 18/24; the caption 11121:91264 keeps 12/16 ash; the CTA 11121:91267 keeps 161 wide but is a FIXED 34 (its 24 logos/others glyph is taller than the 18 content box and centres in it), label Manrope 12/16 at -0.48 on #001615, fill #56C7F3, radius 8, px 40 - set as h-[34px] w-[161px] py-0 at the cut. THE VAULT LINE IS NOT COPY: 11121:91270 "Add SKAI from your wallet to your vault..." is drawn at OPACITY 0 - a 16-tall layout spacer, the twin of the empty row above the block - so it draws nothing, nothing is built for it and no vault sentence reaches the slip; wave 53's frame-defect reading was the node's text read without its opacity. ALSO BUILT, on every 768 slip body: 11121:91257 pads 90 at the bottom (pt 16, px 16, pb 90), which closes the frame - 50 + 16 + 201 + 90 = 357 - and the with-values board 11121:90604 closes on the same 90 (592 - 50 - 16 - 436), a figure that row recorded as 16; BODY_768_BOTTOM carries it on both bodies. Five cases added to betSlipFigmaParity.test.tsx, 35 pass. Second witness QuickBet.tsx for the rail. Still prop-driven with no mount site; no host owns the docked rail, which is a Sports.tsx question and not this row's.	1440=n-a 768=done 375=n-a @2026-09-20/wave54-sportsbook
11121-90870	done	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	CLOSED at 768: the four ramps wave 53 left open are built, and two of them were base-level misses. The 432 system card 4896:83443 was read live with get_metadata to settle which figures govern. Its Frame 706 is 42 = an 18 title row, 8, a 16 caption row (4896:83549 at y=26), then the rule 4896:83569 at y=58 and the legs at y=74 - so the 8 between the title and the captions is the BASE figure and 11121:90913 draws the same 8 at 768; the component had put its uniform 16 there at both widths. BUILT as one gap-2 group inside the 16 column, rendered only when a caption exists so an empty row cannot add a phantom 8. The legs' crest gap is base-level too: 4896:83522 starts at x=24 after a 16 crest and so does 11121:90921, where the card gapped 6; BUILT as gap-2. The two that are 768-only ride md:max-lg: - the BALANCED tag sits 6 after "3 bets" on the 432 card (Frame 416 at x=66 after a run ending at 60) and 4 at 768 (11121:90909), so the run and the tag are a nested group at gap-1.5 / md:max-lg:gap-1 with the crest keeping its 6; and the captions (11121:90914, 11121:90915), the fixture (11121:90921) and the price are 14-tall lines at 768 against 16 on the 432 card, so CAPTION_768 drops their leading to 14 inside rows the 16 crest still holds at 16. Arithmetic: 768 head 40 = 18 + 8 + 14, + 16 + rule + 16 + 72 = 144, + 16 + the 50 stake row = 210, + 32 = 242 over the 48 strip; 432 head 42 + 16 + 16 + 72 + 16 + 50 = 212, + 32 = 244, the card's own height. Nav (System pill 62 at x=133), chips at y=346, Frame 704 at y=410 as summary 112 + 16 + footer 50, and the 64-wide Mulish 16/20 odds column are wave 53's live readings and unchanged. The body's 90 bottom pad from 11121-91242 lands here too. Two cases pin the head at both widths. Second witness QuickBet.tsx; underline 85, which the component draws.	1440=n-a 768=done 375=n-a @2026-09-20/wave54-sportsbook
4896-83198	partial	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	CARD RE-READ, TWO BASE FIGURES CORRECTED, THE REST CARRIED. Only the card 4896:83443 was read live (get_metadata), to decide which of the 768 system-card ramps belong to the base; the frame's other nodes were not re-opened and the carried note stands for them. Two figures that note already stated were not what the component drew: Frame 706 is title row 18 + 8 + caption row 16, and the component gapped those rows 16; each leg's fixture starts at x=24 after a 16 crest, and the component gapped it 6. Both are built now (see 11121-90870). The tag gap is 6 here (Frame 416 at x=66 after a run ending at 60) and the captions, fixture and price are 16-tall (12/16), which the base classes draw. STILL OPEN, unchanged from the carried note: the leg rows size to content rather than the frame's fixed 284 label and 52 price columns, and the price cell's alignment inside its 52 was not read. Not measured whole, so not claimed.	1440=partial 768=n-a 375=n-a @2026-09-20/wave54-sportsbook
11130-119146	done	modules/skai-gaming/src/components/play/sportsbook/BetNotification.tsx	-	CATALOG CORRECTION, as for its two siblings: this "content" row is the SINGLE variant of the placement toast at 340, not a My bets list cut, and MyBetsPanel.tsx never drew it. Read live with get_metadata: 340x78, Frame 239 at (12,12) 316x54; a 42 tile at y=6 with its 24 icons/games glyph inset 9; the text column at x=50 (an 8 seam) is 196 wide - "Single bet" 196x16, then Frame 708 at y=20 (a 4 gap) 196x34 = 16 + 2 + 16, because "Your single bet worth" 126, 4, the 16 coin, 4, "10.00 $" 46 is exactly 196 and the tail "has been placed successfully!" 174 wraps below; dismiss 16 at x=300, y=0, the row's top. 42 + 8 + 196 + 54 + 16 = 316 and 12 + 316 + 12 = 340. Every figure is the build wave 53 shipped for 11130-119104 (base 12 / 8 / 16-2-16 / self-start, the 588 cut on md:), and the title and the noun are the mode switch off MODE_COPY - so no code changed; one case pins the single copy on the 340 shell. The amount is never composed here; the caller passes it pre-formatted.	1440=n-a 768=n-a 375=done @2026-09-20/wave54-sportsbook
11121-90497	frame-defect	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	NOT RE-READ THIS PASS; wave 53's live reading of 2026-09-19 stands and the file was hash-checked tonight. Everything closes at 768 - the same 768x592, 4 + 8 + 32 + 6 rail, 226 / 32 / 80 / 50 bands at 16, 138 + 48 stack, 145.6 chips and 364x50 footer pair as 11121-90604 - and the body's 90 bottom pad built this pass (11121-91242) is what closes the 592. The one residual is the active-tab underline: 11121:90516 is 91 wide over a disclosure that measures 85 (38 + 6 + 21 + 4 + 16), while 11121:90623, 11121:91021 and 11121:91256 draw the bar exactly as wide as the disclosure under it. A bar 6 wider than the thing it underlines, on one board of five at identical content, is the frame contradicting itself, not a build gap; the wave 54 direction keeps the shipped 85, which the component draws. Recorded as a defect so the row reads as what it is; Casey can rule 91 and it reopens. Second witness QuickBet.tsx.	1440=n-a 768=partial 375=n-a @2026-09-20/wave54-sportsbook
11122-92823	frame-defect	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	NOT RE-READ THIS PASS; wave 53's live reading of 2026-09-19 stands. The stack closes at 768 (768x818: nav 24 + 16 + two 186 groups 8 apart, chips at y=452, summary 112 at y=500 with the odds row's coin hidden, footer 364 + 8 + 364 at y=628, every band 16) and the combined stake field wave 53 re-enabled is pinned; the body's 90 bottom pad built this pass lands here too. The one residual is the same vector as 11121-90497: 11122:92842 draws the underline 91 wide over an 85-wide disclosure where three sibling boards draw 85. Same defect, same shipped 85, same reopening if Casey rules 91. Second witness QuickBet.tsx.	1440=n-a 768=partial 375=n-a @2026-09-20/wave54-sportsbook
11121-91489	done	modules/skai-gaming/src/components/play/sportsbook/QuickBet.tsx	-	CLOSED at 768: the body wave 53 measured and did not build is built. Read live whole with get_design_context. The rail is the lit one, "Quick bet on", right group 144.593, underline 11121:91503 at x=16 and 62 wide, and the design context settled one rail figure wave 53 had short: the toggle label 11121:91500 is Manrope 12/16 at -0.48 (65 wide, which 14px cannot reach), not 14/16, so the label drops to 12px below the desktop rail now. BUILT under it, behind a bodyExpanded prop so every rail-only render is unchanged: the body 11121:91504 pads 16 / 16 / 90 on Green Coal 200 under a 1px #123F3C top rule and a 0/10/80 shadow, and its column 11121:91505 stacks three blocks 16 apart. (1) The notice 11121:91506, 736x60 = 12 + 16 + 4 + 16 + 12: #56C7F3 at 0.18, radius 12, 16 left, 20 right, a 16 icons/warnings glyph, 6, "Quick bet mode is active with $10" on Manrope Bold 12/16 over a Gray 100 #E0E0E0 12/16 line with "My bets" in Sky Blue (a link when the host passes onMyBets), and the 16 caret at x=700, y=22 - pointing UP, a collapse control, which onBodyCollapse reports; the sentence takes the live stake, drawn with a dollar sign for a dollar-pegged currency (sUSD reads USD) and the ticker otherwise. (2) "Bet amount:" (11121:91516, Manrope 12/16 at 0.64), 8, then the slip's own 736x50 field (11121:91517: #001615, 1px #123F3C, radius 12, padded 16, the value on Mulish 14/16, the 88-wide 1/2 | 2X | Max on Mulish 10/14) with the 16 tick 11121:91525 drawn 4 after the value - the slot the slip's field keeps hidden - through a trailing slot on the shared StakeField. (3) 16 down, the 736x16 Available row 11121:91535: "Available:" 12/16 at 0.64, 4, the figure on Mulish 12/14 at 0.64 with the 12.75 add glyph 6 after it (onAddFunds), and the fiat value right on the same ramp. NO MOCK: "204.12 USDC" and "$204.13" are template figures; with no balance the row reads "Balance unavailable" and with no balanceFiatLabel an em-dash - the host is the docked rail that does not exist, so nothing is drawn as if it did. (4) 16 down, the five 145.6 chips at gap 2 (11121:91546) through the shared PresetStakeRow, all five at 0.64 because 10 is not a preset. Arithmetic: 16 + 60 + 16 + 74 + 16 + 16 + 16 + 32 + 90 = 336, + 50 = 386, the frame's height. StakeField and PresetStakeRow moved to stakeControls.tsx because BetSlip imports QuickBet. Five cases pin the body and the rail change; 40 pass. Second witness stakeControls.tsx.	1440=n-a 768=done 375=n-a @2026-09-20/wave54-sportsbook
11132-184503	done	modules/skai-gaming/src/components/play/sportsbook/QuickBet.tsx	-	CLOSED at 375 on the same build as 11121-91489, read live whole with get_design_context. The whole sheet carries a 0/-10/40 shadow thrown upward (the 768 board shadows only the body), drawn as max-md:drop-shadow. The rail insets 12 (11132:184504), still 4 + 8 + 32 + 6 (11132:184505 / 184506), "Bet slip" on 14/16, the toggle label 12/14 at 0.74, the underline 11132:184517 at x=12 and 62 wide; the with-values sibling's tag 11132:184580 is 20x14 with its count on Mulish 12/14. The body 11132:184518 pads 12 / 12 / 66 and stacks the same three blocks 16 apart. The notice (11132:184520) keeps 12 / 16 / 20 and 0.18 with both lines on 12/14 (11132:184524, 11132:184526); "Bet amount:" 11132:184530 is 12/14; the field 11132:184531 is the same 50 with the value on Mulish 12/14 at -0.48 (11132:184538, 49 wide for "10 USDC") and the same 10/14 trio; the Available row is 12/14 throughout (11132:184551 label, 11132:184553 figure, 11132:184559 fiat) with the 12.75 glyph; the chips 11132:184561-184569 are 68.6 wide on Mulish 12/16 at -0.48, still 32 tall, 5 x 68.6 + 4 x 2 = 351. Every 375 figure rides max-md: so the 768 base and the desktop rail are untouched; the field and chip ramps live in stakeControls.tsx and serve the 375 slip too. Same no-mock balance row as 11121-91489. Second witness stakeControls.tsx.	1440=n-a 768=n-a 375=done @2026-09-20/wave54-sportsbook
11220-166265	partial	modules/skai-gaming/src/components/play/sportsbook/QuickBet.tsx	-	Read live with get_metadata to learn what the expanded body's caret leaves behind, and it is the rail alone: 375x50, bottom menu at x=12 y=4 (351x46), its row at y=8 and 32 tall, the 62-wide disclosure at y=8, the right group 144.593 at x=206.407 with the toggle 40.593x24, "Quick bet on" 64x14 at y=5 and the cog 16 at y=4 - and NO underline vector, where every open frame at this width draws one. That is the rail the component renders with standalone (no underline) at the 375 figures built this pass (inset 12, 4 + 8 + 32 + 6, label 12/14). PARTIAL because the frame's fill, bottom rule and bottom radius were not read (metadata carries none), so whether the collapsed rail keeps the open rail's 1px #123F3C bottom rule or takes standalone's rounded bottom is not measured; not claimed.	1440=n-a 768=n-a 375=partial @2026-09-20/wave54-sportsbook
11132-184572	done	modules/skai-gaming/src/components/play/sportsbook/BetSlip.tsx	-	CLOSED at 375: the slip as a phone sheet, 375x538. Read live whole with get_metadata, then 11132:184677 (the footer CTA), 11132:184596 (the nav pill) and 11132:184613 (the odds and field row) with get_design_context for the ramps metadata cannot carry. Below md the component's base classes are the desktop rail's, so every 375 figure rides max-md:. RAIL 11132:184573: insets 12 (bottom menu at x=12, y=4, 351x46), the same 4 + 8 + 32 + 6, the disclosure 84 wide as "Bet slip" 38 + 6 + a 20x14 tag whose "1" is Mulish 12/14 + 4 + 16, the right group 145.593 at x=205.407 with "Quick bet off" 65x14 on 12/14, and Vector 2 at x=12, 85 wide - built in QuickBet.tsx under 11132-184503. BODY 11132:184592: Frame 355 at (12,12), pt 12, px 12, pb 66, bands 16 apart. Nav 195x20: the active pill 54x20 is 8/2 around a Manrope 14/16 label (11132:184597) on #123F3C at radius 4, Combined at x=70, System at 149. Frame 701 168 = the staking card 351x128 over its 40 strip with no seam: the card pads 12 (signals at 12,12 = 327x104), head 38 = a 16 row (crest 16, 6, the pick Bold 12/14 125x14, close 16 at x=311) + 8 + the fixture 12/14 270x14 - two rows, no market line - then 16 to Frame 464 50: the odds "1.5" in the same 64 column on Mulish 14/16 (11132:184614), 8, the field 255x50 with its value 12/14 (11132:184622) and the 27/25/32 trio on 10/14. The strip 11132:184633 is 40 = 12 + a 16 row + 12, "Estimated payout" 91x14 and "15 USDC" 49x14 both 12/14 beside the 16 coin. Chips 11132:184646 at y=232: five 68.6 at gap 2 on Mulish 12/16 (28 wide for "$100"), 32 tall. Summary 11132:184657 78 = a 14 divider row (122.5 + 19 + "Bet summary" 68x14 on 12/14 + 19 + 122.5 = 351), 16, then Frame 40 48 = two 16 rows around a rule at 8, labels and values 12/14 with the 16 coin holding the row. Footer 11132:184676 at y=374: two 171.5x48 at gap 8, a FIXED 48 at radius 12 on Manrope 14/16 at -0.56, Clear bet on #001615 under a 1.5px Sky Blue stroke; Place bet is the same instance size and was not read separately. 12 + 204 + 16 + 32 + 16 + 78 + 16 + 48 + 66 = 488, + 50 = 538. ONE 2px NOTE, not built: 11132:184579 draws "Bet slip" 38x14 (14/14) beside the tag where 11132:184508 and 11132:185342 draw the same text 14/16 with no tag; both sit in a 16 row and the 16 is kept. Four cases pin the cut; 44 pass. Second witness stakeControls.tsx for the field and chips, QuickBet.tsx for the rail.	1440=n-a 768=n-a 375=done @2026-09-20/wave54-sportsbook
