# key	status	primaryFile	route	reason	bp
Stream states - stream ended [11481-279749]	done	src/components/streaming/StreamEndedState.tsx	/streaming/:id	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY Row 2 319x200 r4 pad12 = code aspect-[319/200] rounded-[4px]; Nav of chart x12 y164 h24 so bottom/left inset 12 = bottom-3 left-3; Frame 743 right edge 307 in 319 = right-3; Frame 744 gap8 and Frame 743 gap8 = gap-2; pill Frame 237 70x22 r6 pad4/14 = rounded-[6px] px-[14px] py-1 (14+42+14=70, 4+14+4=22); Frame 200 gap8 = gap-2 centred at y100 = box centre; shine 200x200 = 100pct of height LAYER_BLUR 272.156 -> blur(136px) FIXED from a flat 86pct to h-full. TYPE message Manrope Regular 14/18 ls-4pct = text-[14px] leading-[18px] tracking-[-0.04em]; pill Mulish Regular 10/14 ls-4pct = font-numbers text-[10px] leading-[14px]. COLOUR box #000000@0.4 then #222222 then a 0/0.17/0.80/1 black scrim = bg-[#222222] + the gradient div; message #FFFFFF at node opacity 0.44 = colour+opacity on the span; wifi icons/platform #95A09F 16x16 = w-4 h-4; FIXED transport glyphs #FFFFFF not #95A09F and 24/18/24 not 16/16/16. Oracle StreamEndedState.test.tsx 12 tests, 3 new, mutation-verified.	mobile=done @2026-09-01
Stream states - stream ended [11477-254210]	done	src/components/streaming/StreamEndedState.tsx	/streaming/:id	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY Row 2 676x392 r4 pad12 = md:aspect-[676/392] rounded-[4px] (1.7245, deliberately not aspect-video); Nav of chart x12 y358 h22 = bottom-3 left-3; pill Frame 237 70x22 r6 pad4/14 = px-[14px] py-1; Frame 744 gap8 = gap-2; shine 340x340 = 86.7pct of 392 FIXED to md:h-[86.7%]. TYPE message Manrope Regular 14/18.048 ls-4pct (Figma auto-height artifact on 18) = text-[14px] leading-[18px] tracking-[-0.04em]; pill Mulish Regular 10/14 ls-4pct. COLOUR same three Row 2 fills as 11481-279749; message #FFFFFF@0.44; pill #FFBD16@0.34 composited #574007 with an opaque #FFBD16 label. VARIANT this is the showPlayerControls=false frame - Frame 744 > icons/graphical visible=false AND Frame 743 visible=false, both confirmed at the node. Oracle asserts that variant renders only the WifiOff glyph.	tablet=done @2026-09-01
Stream states - stream ended [10102-261907]	done	src/components/streaming/StreamEndedState.tsx	/streaming/:id	NODE DATA BOTH SIDES 2026-09-01, and the desktop frame is NOT the tablet one scaled. GEOMETRY Row 2 1015x571 r4 pad0 = lg:aspect-video (1015/571=1.77758 vs 1.77778); Nav of chart x20 y527 w975 h24 so inset 20 on three edges = lg:bottom-5 lg:left-5 lg:right-5; pill Frame 238 74x22 (label 46 at 11px, 14+46+14=74); Frame 200 y273.5 h24 centre 285.5 = box centre; shine 484x484 = 84.8pct of 571 FIXED to lg:h-[84.8%]. TYPE message Manrope Regular 18/24 ls-4pct = lg:text-[18px] lg:leading-6; pill Mulish Regular 11/14 = lg:text-[11px]. COLOUR Row 2 is a SINGLE opaque #000000 with NO gradient here - FIXED to lg:bg-[#000000] and the scrim div is lg:hidden; the code had been drawing 768s #222222+scrim at every width. THIRD VARIANT NOW EXPRESSED - Frame 744 > icons/graphical is visible=true opacity=0, so the frame reserves the 24px slot and paints nothing; shipped as lg:opacity-0 (lg:hidden would close the gap). Wave 8 recorded this as a design question it could not express; it is a breakpoint value.	desktop=done @2026-09-01
Stream panel - followed [11529-293050]	done	src/components/streaming/StreamPanelFooter.tsx	/streaming/:id	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY Nav of chart 319x82 VERTICAL gap16 = the grid gap-y-4 (row1 34 + 16 + row2 32 = 82); row2 Frame 741 319x32 gap8 with 3x101 CTAs = flex-1 gap-2 (101*3+8*2=319 exactly); CTA r8 pad8/16 gap8 h32 = rounded-[8px] px-4 gap-2 h-[32px]; Frame 6 VERTICAL gap2 = gap-[2px]; Frame 740 gap8 = gap-2; Frame 747 gap10 = gap-[10px]; Frame 748 gap4 = gap-1; labels/tag r9999 pad2/8 h18 gap2 = rounded-full px-2 py-[2px] gap-[2px], inner icons/action 10x10 = h-[10px] w-[10px]. TYPE title Mulish Regular 14/16 ls-4pct; LIVE label Mulish Regular 10/14; viewers 12/16 FIXED (shipped 14, which is 768s value); clock and Started 12/14; CTA labels Manrope Regular 14/16 = leading-4. COLOUR Copy #001615 fill / #123F3C stroke w1 / #95A09F label; Followed same box with a #56C7F3 LABEL; Share #56C7F3 on #001615; LIVE stroke #FF7E50 w1 INSIDE with a #FFFFFF label; viewers glyph #95A09F FIXED (it had inherited white from the count). Oracle StreamPanelFooter.test.tsx 24 tests, 2 new, mutation-verified.	mobile=done @2026-09-01
Stream panel - followed [11477-243256]	done	src/components/streaming/StreamPanelFooter.tsx	/streaming/:id	NODE DATA BOTH SIDES 2026-09-01. GEOMETRY Nav of chart 676x36 HORIZONTAL gap16 = md:flex md:gap-4; Frame 6 180x36 VERTICAL gap2; Frame 740 180x20 gap8; Frame 747 153x14 gap10; Frame 741 383x34 gap8 with CTA widths 93/89/85/92 all h34 r8 pad8/16 gap8 = px-4 text-[14px] md:h-[34px] (16+37+8+16+16=93, 16+33+8+16+16=89, 16+53+16=85, 16+36+8+16+16=92 - four independent width checks); CTA trailing icons/action 16x16 = h-4 w-4 and Followed carries none. TYPE title Mulish Regular 16/20 ls-4pct = md:text-[16px] md:leading-5; LIVE Mulish Regular 12/14 = md:text-[12px]; viewers Mulish Regular 14/16 = md:text-[14px] FIXED; clock+Started Mulish Regular 12/14; CTA labels Manrope Regular 14/18 = md:leading-[18px]. COLOUR as 11529-293050; Followed stroke is w1 here and w1.5 at 1440. Oracle mutation-verified.	tablet=done @2026-09-01
Stream panel - followed [5010-179221]	partial	src/components/streaming/StreamPanelFooter.tsx	/streaming/:id	STAYS partial and the reason is a product decision, not a measurement gap. TYPE AND COLOUR MATCH at 1440 - title Mulish Regular 22/26 ls-4pct = lg:text-[22px] lg:leading-[26px]; LIVE label Mulish Regular 11/14 = lg:text-[11px] (NOT monotonic - 10 at 375, 12 at 768, 11 at 1440); viewers Mulish Regular 16/16 = lg:text-[16px]; clock and Started Mulish Regular 12/16 = lg:leading-4; Frame 742 gap2, Frame 740 gap8, Frame 747 gap10, Frame 748 gap4, Nav of chart 1015x44 gap16 - all match. THE BUTTON SET DOES NOT. Frame 741 is 329x34 and holds THREE CTAs - Notify me 114x34, Followed 85x34 (stroke #123F3C w1.5, not w1), Share live 114x34. There is no Copy at 1440 and the labels are longer. The code ships four (Notify/Copy/Followed/Share) at every width because dropping Copy above 1024 deletes a working control from desktop - WAVE5 section 6 makes that Casey's call. TWO OPTIONS: (a) hide Copy and relabel to Notify me / Share live above 1024, matching the frame exactly; (b) keep four buttons and treat the frame as under-specified. Needs a ruling.	desktop=partial @2026-09-01
Skai > Social > Live > Stream type modal 1VH (1440 x 900px) [4998-157146]	partial	src/components/streaming/StreamTypeModal.tsx	/streaming	PROMOTED FROM not-started - THE not-started ROWS WERE STALE. Three earlier rows say the chooser does not exist and cite GoLiveModal.tsx having 0 matches for streamType/RadioGroup/OBS/webcam. That is still true of GoLiveModal and irrelevant: the frame is a MONETISATION prompt, not a capture-source chooser, and StreamTypeModal.tsx was built in wave 6 and is MOUNTED at LiveStreamsBrowser.tsx:373 with all four props wired (Create token -> navigate /account, Start anyway -> beginStream, dismiss -> cancel). INTERIOR NOW MEASURED, which no prior pass could do - the component docblock said outright that the Figma MCP was unreachable in the session that built it. Overlay #001615@0.44 + BACKGROUND_BLUR 5 (= backdrop-blur-[2.5px], Figma radius is 2x CSS); modal 564x524 r32 pad24 gap24 fill #122524 stroke #123F3C w1 DROP_SHADOW 0/10/80 rgba(0,0,0,0.25); title Manrope Regular 24/28 ls-4pct #FFFFFF centred; body Manrope Regular 16/22 ls-4pct #E0E0E0 centred capped 426 inside 516; card 516x224 r16; Frame 203 gap8 with 254x62 r16 pad20/40 CTAs, Start anyway #001615 + #56C7F3 stroke w1.5, Create token #56C7F3 on #001615 with a 16x16 PLUS (the code drew a Sparkles). ALL RESTYLED, and the body copy is now the TEXT node's own characters instead of a paraphrase that had dropped the frame's second offer. REMAINS: card > chart is an illustration (5 IMAGE-filled ellipses + a Signal vector) that would have to be fabricated, so only its container and the Ellipse 13 radial glow are reproduced.	desktop=partial @2026-09-01
Skai > Social > Live > Stream type modal 1VH (768 x 1024px) [11442-160938]	partial	src/components/streaming/StreamTypeModal.tsx	/streaming	PROMOTED FROM not-started for the same reason as 4998-157146 - the component exists and is mounted at LiveStreamsBrowser.tsx:373. NODE DATA 2026-09-01: modal 448x470 r16 pad12 gap24; title Manrope Regular 18/22 ls-4pct; body Manrope Regular 14/18 ls-4pct #E0E0E0; card 424x224 r12; Frame 203 gap8 with 208x50 r12 pad16/24 CTAs (208+8+208=424 exactly, so both are flex-1); Start anyway stroke w1 here against w1.5 at 1440. ALL RESTYLED. * THE 768 STEP WAS THE ONE MOST LIKELY TO BE MISSED: the stock DialogContent class list carries sm:p-6 and sm:rounded-lg, and twMerge only drops a conflict when the SAME variant is passed again - so p-3 lg:p-6 alone would have drawn 24px of padding at 768 where the frame wants 12. sm:p-3 and sm:rounded-[16px] are restated for exactly that, and the oracle asserts their presence AND the absence of sm:p-6.	tablet=partial @2026-09-01
Skai > Social > Live > Stream type modal 1VH (375 x 812px) [11438-159797]	partial	src/components/streaming/StreamTypeModal.tsx	/streaming	PROMOTED FROM not-started, same evidence. NODE DATA 2026-09-01: modal 354x458 at x=11 inside 375 (so ~10px each side - shipped as w-[calc(100%-21px)] max-w-[354px]) r16 pad12 gap24; title Manrope Regular 18/22; body Manrope Regular 14/16 ls-4pct #E0E0E0 full-width 330; card 330x224 r12; Frame 203 gap8 with 161x44 r12 pad14/16 gap12 CTAs (161+8+161=330). * ORDER AND STACKING BOTH FIXED: Frame 203 puts Start anyway at x=0 and Create token at x=169, side by side, while DialogFooter is flex-col-reverse below sm - so the shipped modal stacked them vertically AND put Create token on top. Now flex-row at every width. CTA heights 44/50/62 all sit at or above the 44px tap floor, so no no-min-size opt-out is used and the oracle pins that. REMAINS: the card illustration, and DialogContent hard-codes its Close at right-4 top-4 = 16 where this frame wants 12 - that inset needs an @skai/ui change, which is outside this lane.	mobile=partial @2026-09-01
Multi-panel - live chat - with rewards [11529-292425]	partial	src/components/streaming/StreamRewardsTicker.tsx	/streaming/:streamId	COORDINATED WITH status.wave9.social-blocked.tsv, WHICH REACHED THE SAME VERDICT INDEPENDENTLY - that lane unblocked this node the same day off a live PostgREST service-role probe (all three relations exist, Content-Range */0; empty is not absent). This row carries the same verdict and adds the parity measurement, so nothing is silently overturned. PROMOTED FROM blocked-on-backend - THE BLOCK WAS WRONG, and it is the wave-5 Predict pattern exactly. The prior reason was that stream_donations, stream_trade_events and stream_chat all held 0 rows platform-wide, so the state could not be photographed from real data. That is a statement about TODAY'S DATA, not about a missing capability: StreamRewardsTicker derives the strip from the messages already in StreamChat's props (StreamChat.tsx:370), needs no new table, no new column and no new RPC. An empty table is not a backend gap. NOW MEASURED: Frame 755 HORIZONTAL gap4 pad0 430x24 inside a 676 row; three pills Frame 716/717/718 all fill #001615 r8 pad4/8/4/8 gap4 h24 with NO STROKE; handle Mulish Regular 14/16 ls-4pct #95A09F; amount 14/16 #FFFF16 (716) and #17F9B4 (717); icons/action 16x16 whose icon takes the SAME accent as the amount. FIXED: the pill was bg-muted + a border and swapped to border-primary/60 bg-primary/10 when highlighted; the amount was text-primary on both; the type was one text-xs at font-medium/font-semibold where the frame is weight 400; the strip carried py-2 where the parent's inset and itemSpacing are both 16. Frame stays partial because only the gift strip is measured - the rest of the 708x436 chat panel is not.	tablet=partial @2026-09-01
