# key	status	primaryFile	route	reason	bp
# Lane play-hub, wave 44, 2026-09-15. 14 rows, one per frame in BRIEF-play-hub.md, 14 distinct nodes.
#
# NINE OF THE FOURTEEN WERE RE-READ LIVE THIS PASS, on two files. Thirteen Figma calls, largest node
# first, paced against the seat's burst cap; no refusal was hit. On M6r9FEn042UWTQD1zvy6GM: the three
# Hooked bar states 12050:1948 / 12050:1987 / 12052:2027, the RPS board 9937:18892, and the Vegas
# fortune cover 10688:7210. On 3sSzw1KewMtUbeLAv7uW0r: the ticker strip 11214:131957, the casino nav
# search box 11064:20612, the player mark 11066:23094, and both catalogue boards 11084:64586 and
# 11084:64983 — the two the wave 43 row had to carry as NOT RE-READ.
#
# THREE ROWS ARE CARRIED ON WAVE 43'S OWN LIVE READ OF 2026-09-14 and say so in the reason:
# 10912-148682, 11066-23332 and 10912-148158. All three were measured live one day earlier, their
# numbers are in the wave 43 record, and this lane's Figma budget went to the frames whose verdict
# could actually move. The SOURCE for all three was re-read at HEAD this pass, which is the half that
# can change under a lane.
#
# TWO MEASUREMENTS HERE ARE NOT NODE GEOMETRY, because the thing in question is a picture and no
# metadata read returns one:
#   11066-23094  the mark's own 50x50 raster was exported and its pixels counted — 793 of #999966
#                (Printers Gold) and 156 of #123F3C (the ring), the rest the blend of those two.
#   10688-7210   the node's image fill was exported and set beside the committed slots-cover.webp:
#                both 1200x1700, both the same gambler. A leaf node's box cannot tell a registry
#                that it imports the wrong file, and that is the defect this row existed for.
#
# NO BROWSER, no build, no tsc, no dev server. No row below claims a DOM-measured render; every
# number is the node's against the source's.
#
# TWO HAND-OFFS THE HOOKED BAR NEEDS, AND NEITHER FILE IS THIS LANE'S:
#   1. src/slots/types.ts + the five games/*/skin.ts — SlotSkin.palette declares `bar` and is read by
#      NOBODY. HudScene.paintBar hardcodes Cosmic's #362562-to-#211346 fill under #c76f48 drops at
#      +2/+4, so every other slot draws Cosmic's purple bar. Hooked's own skin.ts already records the
#      answer in a comment at :46 ("#0D3D57 with a #05202E drop, where HudScene paints Cosmic's
#      purple") and 12050:1948 confirms it live: fill #0d3d57, drops 0/3/#05202e and 0/6/
#      rgba(5,32,46,.44), radius 16. The fix is a second fill stop and the two drops on the palette
#      type, then one line per skin; palette.bar alone would flatten Cosmic's gradient.
#   2. The same five skin.ts files — barMetrics.betIcon (x=247, 18px) is declared and never drawn,
#      because skin.barIcons has menu/betUp/betDown/spin/autoplay and no coin. All three Hooked cuts
#      draw that 18px coin left of the bet value on a 4px gap, and Cosmic's FRAME_FACTS records it at
#      the same 247 — so it is the shared bar's glyph, missing everywhere, not a Hooked detail.
#
9937-18892	partial	modules/skai-gaming/src/components/play/games/instant/RockPaperScissorsGame.tsx	/play/rock-paper-scissors	Re-read live 2026-09-15 and the geometry is confirmed to the pixel, but this stays partial and should. Desktop 954x621; ladder Frame 1000004269 at (-58,19) 1190x186.385 = left group 460x180.385 at (0,6) holding four 100x120 cards at x=0/120/240/360 (a 20 gutter) each with a 100x23.385 label frame at y=157; centre Frame 1000004258 110x186.385 at x=480, its label at (5,163) reading 1.00x; right group 580x180.385 at (610,6), five more at x=0/120/240/360/480 reading 1.96x / 3.92x / 7.84x / 15.68x / 31.36x. Hand card 9937:18905 110x132 at (422,236) and move tray 9937:19002 364x130.402 at (295,448.32) both confirmed and both BUILT — the file's :1739 ladder transcript and :1752 tray note match the node. THE BLOCKER IS A MONEY PATH AND NOTHING WAS BUILT ON IT: the ladder compounds at x1.96 a rung, the single-round rail pays 1.85 (WIN_MULTIPLIER at :185, derived from the 95 percent RTP target as 3 x 0.95 - 1) and the streak engine in _shared/rps.ts prices a win at 1.90, whose own comment rejects 1.96 as "a 2 percent edge, not 5". Drawing the frame's rungs would quote a payout settlement will not honour. Residual that is NOT money: the tray's pad measures 13.137 live where :1752 records 12, about 1.1px a side on a 364 box.	1440=partial 768=n-a 375=n-a @2026-09-15/wave44-play-hub
10688-7210	done	modules/skai-gaming/src/pages/play/playGameArt.ts	/play/vegas-fortune	Re-read live 2026-09-15 and the open question wave 43 left is now answered by measurement rather than carried. The node is a leaf — 195x277, no children, r16, shadow 0 1px 4px rgba(0,0,0,.75) with an inset 0 1.091px 27.285px rgba(255,255,255,.14), #001615 under an object-cover fill under a band from rgba(172,36,34,0) at 41.823 percent to #ac2422 at 78.7, caption Manrope ExtraBold 24/24 uppercase at -0.96 over Mulish 11/14 at 64 percent opacity, gap 8, bottom 18, in a 132 column at left 31 (which is centred in 195). A box is all a metadata read can give, and a box cannot catch a registry importing the wrong picture, which is exactly what report 510ef089 was. So the fill itself was exported and set beside the committed art: figma/slots-cover.webp and the node's fill are both 1200x1700 and both draw the same gambler — top hat, moustache, engraved lever-action over the shoulder, gold brocade waistcoat, mesa and Strat tower behind. The registry's accent #AC2422 is the node's own declared stop. Recorded in the file at bb960043.	1440=done 768=n-a 375=n-a @2026-09-15/wave44-play-hub
10912-148158	blocked-on-backend	modules/skai-gaming/src/components/play/ui/PlayModeCards.tsx	/play	Carried on wave 43's live read of 2026-09-14; not re-read this pass, and the SOURCE was re-read at HEAD instead. card 350x118 at x=358, art Frame 464 at (16,16) 145x86 with copy at (177,16) 157x86 — art LEFT, as the Casino card beside it. PlayModeCards at HEAD states 350x118 at r12 on a 16 seam at :34, 145/318 at 768 at :42, the 145x86 plate at :54, and `flex-row-reverse md:flex-row` at :87, so the art only mirrors at base. The classification is right and unchanged, and it is about the FIGURE not the layout: the frame's count row reads 1,122 and there is no sportsbook feed, so the count is OMITTED rather than invented — the prop is gated on `typeof playingCount === "number"` at :284 and `sportsPlayingCount` is documented at :313 as one a caller should leave undefined. FRAME-SIDE COPY DEFECT, still standing: the node writes "Win along with you favorite team". The app ships "your" at :344, which is the correct departure.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-play-hub
10912-148682	partial	modules/skai-gaming/src/pages/play/Play.tsx	/play	Carried on wave 43's live read of 2026-09-14 (768x3741, column Frame 1000003822 708 wide at x=30, so 708 + 2x30 = 768); not re-read this pass. The SOURCE was re-read at HEAD, which is the half that moves: Play.tsx is clean and now at 403b7842, one commit past the c8ee148e wave 43 measured, and that commit is on this board — it hides the hub's links footer below 1024 because these boards run from the last section straight to the bottom navigation. The row stays partial for the reason wave 43 gave and this pass confirms: most of what the board holds belongs to other files, each closed by its own row — the hero 11064:21903/21904, the mode pair at y=410 (10912-148148 and 10912-148158), the sports rail at y=817, the featured grid at y=1292, the bets table at y=1968 and the About/FAQ block. What this file owns on the board is the column itself, and that closes.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-play-hub
11064-20612	done	modules/skai-gaming/src/components/play/ui/PlayFilterBar.tsx	/play/casino	Re-read live 2026-09-15 and it closes. Frame 405 at x=568, 140x32, holding a 16x16 glyph at (16,8) and "Search games" 74x16 at (42,8). Source: `no-min-size h-8 rounded-[8px] border-green-coal-100 bg-green-coal-300 pl-[41px] pr-[23px] font-manrope text-[12px] leading-[14px] md:leading-[16px]` in a `md:w-[140px] lg:w-[200px]` holder — 32 tall at 768, 140 - 2 - 41 - 23 = 74 of text box, a 12/16 placeholder, and `no-min-size` keeping index.css's 44px floor off it. THE RESIDUAL WAS THE DOCBLOCK AND IT IS FIXED (cc869e56): the ramp table at :144 assigned 200 to 768, where every 768 board that actually draws the nav puts 140 — this node, 11084:64595 and 11084:64994, all three re-read live at x=568 140x32. The 200x34 boxes on those same boards are hidden, and 11064:20547 is confirmed hidden="true" live in this pass's read of 11066-24288. The shipped widths were already right; only the table lied, which is the shape that teaches the next reader to "fix" a correct box.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-play-hub
11066-23094	done	modules/skai-gaming/src/components/play/ui/PlayerMark.tsx	/play/casino	Re-read live 2026-09-15, and the paint wave 43 could not confirm is now MEASURED. The node is an `images/circle` instance whose whole content is a raster — no fills for a metadata read to return, which is why the tint stayed carried. So the export was counted instead: of the 50x50 image behind the 24x24 circle, 793 pixels are #999966 and 156 are #123F3C, and every other value is an antialiased blend of those two. #999966 is Printers Gold and #123F3C is Green Coal 100. PLAYER_MARK_TINTS ships earth / alien-green-bright / sky-blue / printers-gold, `printers-gold` resolves to #999966 in design-tokens.css, and the `ringed` variant draws the 1px Green Coal 100 ring the raster shows. The hash is FNV-1a modulo the set, so which player lands on gold is not the frame's claim; that the fourth tint IS this gold is, and it holds. Geometry (24x24 in the Top bets user column at x=263.5) stands on wave 43's live read.	1440=n-a 768=done 375=n-a @2026-09-15/wave44-play-hub
11066-23332	partial	modules/skai-gaming/src/pages/play/Play.tsx	/play/casino	Carried on wave 43's live read of 2026-09-14; not re-read this pass. Its finding is worth restating because it is a trap: the frame is NAMED "Skai > Play > Casino (768 x 1024px)" and MEASURES 768x4297 — read the measured height as well as the measured width. Column Frame 520 is 708 at x=30, which the `md:px-[30px]` on the `box-content max-w-[1318px]` column draws exactly. The SOURCE was re-read at HEAD: Play.tsx clean at 403b7842, one past wave 43's c8ee148e. Partial for the same reason as its landing twin — the children belong to other files and each has its own row: 11066:24288 heading and banner at y=0, the nav 11064:20592 at y=320, four 708x297 shelves, the featured grid at y=1848, the bets table at y=2524, a hairline at y=3034 and the About/FAQ block at y=3066. This board is also where 11214:131957 sits, at y=4223, and that row is below.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-play-hub
11066-24288	partial	modules/skai-gaming/src/components/play/ui/PlayHeroCarousel.tsx	/play/casino	Re-read live 2026-09-15. The indicator is built to the pixel and it correctly draws nothing, which is why this is partial rather than done or broken. Node 11066:24288 is 708x288: heading row Frame 630 708x28 with "Casino" at x=0 and the carousel group 11064:20541 45x5 at x=663 — a 5x5 dot at x=0, a 27x5 track at x=9 holding an 11x6 bar flush left, a 5x5 dot at x=40, so 5 + 4 + 27 + 4 + 5 = 45 on a 4px seam. Source: DOT_SIZE 5, TRACK_WIDTH 27, BAR_MIN_WIDTH 11, INDICATOR_TRACK #123F3C, `gap-1`. The bar is a PROGRESS METER and not a wide active dot; a partial fill anchored at one end is elapsed time, which is what 11 of 27 means. THE REFUSAL IS CORRECT AND IS NOW CONFIRMED FROM BOTH ENDS: the banner Frame 633 708x244 at y=44 holds TWO 354x244 halves — an empty art card and a copy card carrying "Casino games", its subline and a 214x50 CTA — which is ONE slide, not two; and CASINO_HERO_SLIDES in Play.tsx has exactly one entry, that same slide. `if (count < 2) return null` therefore fires, and three marks over one slide would be three marks the player can never move.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-play-hub
11084-64586	partial	modules/skai-gaming/src/components/play/ui/PlayCollectionView.tsx	/play/casino	RE-READ LIVE 2026-09-15 — wave 43 had to carry this as NOT RE-READ, and everything the read can reach agrees with the source. Frame 1000003833 at (30,76) 708x1709. Header Frame 629 708x32: heading Frame 450 at (0,2) 313x28 with a 24x24 glyph at (0,2) and "New games" at x=34; CTA/button 103x32 at x=321; CTA/button 128x32 at x=432; Frame 405 140x32 at x=568 — an 8px gutter throughout, closing exactly on 708. Grid Frame 1000003837 at y=48 (a 16 seam), 708x540 = two 708x266 rows on an 8 seam, four 171-wide columns at x=0/179/358/537, so 4x171 + 3x8 = 708. Each column is a 171x242 tile over a 16-tall meta row at y=250 reading either "<n>X played" or "<n> playing". The source states that same table at :582 and ships `grid-cols-2 gap-2 md:grid-cols-4`, `h-8` triggers on `gap-2`, and both meta rows. Partial for what the read CANNOT open: the tile radius and the New pill live inside the "Cards ALT - Chicken" instance, and the dropdown open-rows and the hover CTA are states, not children — all four are wave 42's named residuals and all four need a probe of the component, not of this board.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-play-hub
11084-64983	partial	modules/skai-gaming/src/components/play/ui/PlayCollectionView.tsx	/play/casino	RE-READ LIVE 2026-09-15, also carried as NOT RE-READ by wave 43. Structurally identical to its New games twin above, child for child: header 708x32, heading Frame 450 at (0,2) 302x28 ("Trending games" at x=34 after a 24x24 glyph), Frame 405 140x32 at x=568, grid at y=48 with two 266-tall rows of four 171 tiles at x=0/179/358/537, rule at y=620, About and FAQ at y=652. THE ONE DIFFERENCE IS THE FIRST CTA AND IT IS NOT A DEFECT: 114x32 at x=310 here against 103x32 at x=321 on New games, because both hug their own label and both land the second button on x=432 and the search on 568. The source's note at :428 cites 114 and 128 and the 432 + 128 + 8 = 568 arithmetic, and ships `md:w-auto` on both triggers, which is what lets one node draw two widths. Partial for the same four residuals as the twin, in the same places.	1440=n-a 768=partial 375=n-a @2026-09-15/wave44-play-hub
11214-131957	partial	src/components/layout/PlayNewsTicker.tsx	/play	RE-READ LIVE 2026-09-15 AND BUILT (ec4f10749). Node "Scroll bar 4" 1440x22 on #122524 inside a #123F3C hairline, `py` 2, a 24px left inset, 28 between rows and 4 inside one; every row states its subject in Manrope 12/16 white and everything after it in Mulish 12/14 Ash #95A09F. Built to that: the strip was 28 tall and is now 22, the rows were 6px apart on an 11px leading-none type and are now 4 inside and 28 between, the 24 inset is drawn, and a win's game name became the subject with its player, figure and age the detail. The 28 is a trailing margin and not a flex gap — a gap also falls between the two copies of the marquee set, so translateX(-50%) would stop half a gap short and the loop would jump; HomeBottomTicker carries the same note. PARTIAL, not done, and the residual is a standing ruling: the node draws five rows of which four (a dated headline, a NEW RELEASE pill, a live-volume line, a HOT NEWS pill) have no feed behind them, and Casey ruled 2026-08-12 to omit rather than invent them. Both this board and the 768 landing board park the 1440-wide strip, so the 768 verdict is taken off the desktop cut sitting there, not off a tablet spec; the component is `hidden lg:flex` and draws nothing below 1024.	1440=partial 768=partial 375=n-a @2026-09-15/wave44-play-hub
