# bug_id	node	fileKey	pageId	pageName	scope	status	url	title
# Figma scope adjudication, 2026-09-08. The 55 OLDEST figma-linked reports in the untouched set, one row each.
# METHOD: figma.getNodeByIdAsync(node) via the Plugin API, then walk .parent up to the PAGE node. Scope then read
# off live/_pages.json keyed on (fileKey, pageId) -- never on pageId alone, which collides across files.
# NOT USED, deliberately: the id prefix (12 rows here carry 134xx/135xx prefixes and sit on Home 1, not a v2 page),
# and the live/<fileKey>__<page>.tsv snapshots (dated 2026-08-26, top-level frames only, so an inner node misses).
# RESULT: 43 in-scope, 12 v1-superseded. No tombstone, no held, no excluded, no node-not-found -- all 55 resolved.
# The 12 v1-superseded rows are one cluster, the Home 1 deposit-encouragement flow. See
# HOME1_DEPOSIT_FLOW_FRAME_FACTS_2026-09-08.md -- they have no v2 replacement AND they are the newest-drawn
# frames in the file's Home pages, which is evidence against reading them as retired. Casey's call, not a lane's.
bb06ff2c-324b-4a8a-ab74-eecab6d10f94	8623:56286	3sSzw1KewMtUbeLAv7uW0r	3173:26018	Predict	in-scope	triaged	https://app.skai.trade/predict/market/binary/4	Predict Sample Market Header Tabs
8860dcca-06a2-4117-9387-49f9cede379a	8687:54506	3sSzw1KewMtUbeLAv7uW0r	3173:26018	Predict	in-scope	triaged	https://app.skai.trade/predict/all	Predict Breaking Page
04881f59-d2c0-40b7-83fc-1bf3b0152403	8909:136074	3sSzw1KewMtUbeLAv7uW0r	3173:26018	Predict	in-scope	triaged	https://app.skai.trade/predict/all	Predict Side Tab Mismatching
f957549a-855b-4650-819f-b24ff6851916	8911:142487	3sSzw1KewMtUbeLAv7uW0r	3173:26018	Predict	in-scope	triaged	https://app.skai.trade/predict	When in live dashboard add the different menu options for the user to select in the top header options (Scr...
fa2eb4bd-368b-4eca-b529-d1a42ffe4ac9	11100:64769	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play/casino	Mobile view (375px) - Play > Casino > Title
c61cfa48-0199-48c0-bd5c-31187f7f5810	11100:64784	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play/casino	Mobile view (375px) - Play > Casino > Casino Games Image
0be50b42-e184-44e9-ba20-1dfbc115106a	11100:64851	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play/casino	Mobile view (375px) - Play > Casino > Trending Games Section
7cad2944-f426-4990-9776-220fe4bb77fc	11202:44172	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play	The current Play hero banner widget needs to be sized the same and UI icon sizing backgrounds and content n...
e64eed3a-29e0-4b52-85f8-f205865b7e14	11202:44201	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play	The current Play page Casino banner widget needs to be sized the same and UI icon sizing background and con...
26c4ca64-b47d-4072-bc52-0eb0e44b9a3e	11202:44213	3sSzw1KewMtUbeLAv7uW0r	4459:128102	Play	in-scope	triaged	https://app.skai.trade/play	The current Play Sportsbook menu banner widget needs to be sized the same and UI icon sizing background and...
