# key	status	primaryFile	route	reason	bp
# Lane wallet-shell-pages, wave 53, 2026-09-20. skai-wallet read and built at
# b8ee77e; commits 0c83c7d and 0040580. Rows are frames REACHED this pass.
# Column 3 is one bare path. No browser ran: nothing here is a DOM measurement.
# The wallet deploy belongs to another session, so a `done` here is done ON
# SOURCE and the surface is NOT deployed by this wave.
#
# THE HEADLINE: 7713:17401 IS NOT A HOME BOARD, AND THAT CLOSES THE ONE WALLET 1
# HOME NUMBER THE BRIEF SENT ME TO SETTLE. Wave 50 recorded a Main container at
# (94,100) off that node and wave 52 left it as "a frame question, not a code
# one" - the last thing standing between the 768 home rows and their page
# rhythm. Read live this pass: 7713:17401 is a 580-wide Main container at
# (94,100) whose four children are 12 apart (streak 76 at y=0, net worth 198 at
# y=88, quick actions 121 at y=298, section 324 at y=431), whose quick-actions
# card holds ONE action row where the home board draws two, and whose id sits
# between the export modal 7713:17338 and the remove modal 7713:17751. It is the
# page BACKGROUND under the 7713 overlay family, not a home frame, and it carries
# the desktop column's numbers (48 clear, 12 gaps) at tablet width. The board
# that draws the 768 home is 7704:46353 - (94,76) under a 52 header, four
# children 8 apart - which was read live last wave and which shell/layout.ts
# produces exactly. So the page rhythm at 768 is settled and the disagreement is
# one overlay board's decoration.
#
# SECOND, AND IT IS THE FIRST COMMIT (0c83c7d): THE EXPORT MODAL'S TITLE IS A ROW
# WITH A MARK IN IT, AND THAT WAS WAVE 50's UNREAD GLYPH. 7713:17348 read at last
# (get_design_context 7713:17346): it is an EYE - the same glyph the menu row
# above opens this flow with off 7477:133570 - 24 square, 8 after a 136-wide
# title, the pair 168 wide and centred on the 424 (128 -> 296 against a midpoint
# of 212). That mark is the whole reason Frame 200 is 50 on that board rather
# than the 48 a bare 22 title gives, and the card, the key field and the CTA row
# under it had all been landing 2 high. Built as a centred flex row whose height
# is the tallest child, so remove keeps its 22 and its 48 (7713:17751) and the
# 1440 title, being 28, is taller than the mark either way (7479:136147's Frame
# 200 is 58). Scoped to the REVEALED state only: 7479:136147 draws the password
# title as a bare full-width run with no Frame 291 at all, and both boards that
# carry a mark are revealed ones. State and width are confounded on the desktop
# pair, so the narrower claim is what shipped.
#
# THIRD, AND IT IS THE SECOND COMMIT (0040580): THE WELCOME BOARD ENDS ON A LINE
# THE SCREEN DID NOT DRAW. 7676:51711's `main` is 418x398 at (175,313) and its
# last child is a 418x32 run at y=270, 20 below the controls like every other
# block on it. Read off 7676:51755 rather than copied from the sign-in step:
# Manrope 12/16 at -0.48px, centred, Accents/Gray 100 #E0E0E0, with "Terms" and
# "Privacy" alone in Sky Blue 300 #56C7F3. The thirdweb-only ruling of 2026-07-03
# supersedes the FORM above it - the email block, the OR rule and the
# Google/Apple pair - but it says nothing about the legal line, and both CTAs on
# this screen lead into signup, so the notice belongs on the first screen that
# offers them. It stamps nothing: the attestation is continuing PAST the notice
# and EmailAuthFlow already records it at the step that creates the row
# (lib/auth/signupConsent.ts), so a second stamp here would date the consent to a
# press that creates nothing.
#
# FOURTH: 7676:51711 ALSO CORROBORATES CASEY'S 2026-09-19 LOGOMARK RULING on a
# board this lane owns - `logos/skai-short` is 116x48 at (151,0), centred on the
# 418 column, and the screen's medium preset is that lockup. The 135x48
# anti-cram width is retired and nothing here carries it.
#
# FIFTH, ON THE FOUR SHARE ROWS AND THE SCAN QR ONE: unchanged and deliberately
# so. The share family is superseded by the 2026-09-04 ruling and its file is the
# wallet-components lane's; Scan QR stays unbuilt because the repository holds QR
# GENERATORS only. Both are restated rather than re-read, and the 52-vs-50 CTA,
# the 12/24-word toggle, the warning-card inset and the 375 gutter keep their
# shipped defaults per the wave 53 rules.
7713-16984	partial	modules/skai-wallet/src/shell/panels/WalletActionsMenu.tsx	/ -> wallet-accounts sidecar -> menu -> Export private key (revealed)	BUILT THIS PASS (0c83c7d); WAVE 50'S FIRST GAP IS CLOSED AND THE GLYPH IT REFUSED TO GUESS IS READ. Board 7713:17338, 448x432 at (160,296) on a 12 inset. MATCHED at 768 and unchanged: the 448 frame, the 16-tall controls row at (12,12) with the close at x=408, content opening at 48, the card at (12,118) 424x138 over a 394x96 six-line body, the key field 424x74 at (12,276) and the single full-width CTA row at (12,370). CLOSED: Frame 200 now stands 50, not 48. `Frame 291` is 424x24 carrying the title AND a 24 `icons/graphical` centred with it as one 168-wide pair on an 8 gap (128 -> 264, then 272 -> 296, midpoint 212); get_design_context on 7713:17346 resolves the mark to an EYE, which is the glyph 7477:133570 already gives this action in the menu. The h2 is a centred flex row now, so the height is the tallest child - 24 with the mark, the text's own 22 without it, which keeps the remove board at 48 and the 1440 title at its 28. Scoped to the REVEALED state, because 7479:136147 draws the password title as a bare full-width run with no Frame 291; the 375 rung is derived, not read - the card there sits at y=116 (7774:67723) over a 48 Frame 200, which a 22 title over a 16 subtitle 8 apart cannot reach and a 24 row can. TWO GAPS LEFT, both unchanged and neither a number this lane may decide: the warning card ships 8488:31351's (16,12) inset against this board's (14,10) and the remove board's (12,10), one class string over three disagreeing boards; and the body is a deliberate copy union (this board's import instructions PLUS the "never share" caution it drops) with a Hide control no frame draws, which stands the card over 138.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7676-51711	partial	modules/skai-wallet/src/pages/wallet/WalletShellWelcome.tsx	SKAIAuth login step	READ LIVE THIS PASS (get_metadata 7676:51711, get_design_context 7676:51755) AND BUILT (0040580). `main` is 418x398 at (175,313), i.e. centred on 768, over a 116x48 `logos/skai-short` at (151,0) with `inputs` opening at y=96 - 48 clear - and every block inside 20 apart: a 74 field, a 50 CTA at 94, the OR rule at 164, two 205 halves on an 8 gap at 200, and a 418x32 notice at 270. MATCHED: the 418 column (md:max-w-[418px]), the 48 medium lockup with 48 under it (md:mb-12), 50-tall CTAs over 14/18 (md:h-[50px]) and the 20 between them (gap-5). ALSO CORROBORATED HERE: Casey's 2026-09-19 ruling that the short logomark is the frame's 116x48 - this board draws exactly that and the screen's medium preset is it. CLOSED THIS PASS: the notice, which the screen simply did not draw - Manrope 12/16 at -0.48px, centred, in Accents/Gray 100 with Terms and Privacy alone in Sky Blue 300, linking to skai.trade/terms and /privacy, and drawing on the sign-in offer only rather than under the loading or account-not-found states. STILL PARTIAL, and it is the supersession rather than a number: the email block, the OR rule and the Google/Apple pair are the account-creation FORM, which the thirdweb-only ruling of 2026-07-03 moved one step in to EmailAuthFlow.tsx (the wallet-components lane's), so this screen draws two CTAs where the board draws five blocks. Every number the two share lands; the vocabulary has no term for a frame governed by a ruling.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7713-17399	partial	modules/skai-wallet/src/shell/panels/WalletActionsMenu.tsx	/ -> wallet-accounts sidecar -> menu -> Remove wallet	THE BACKGROUND OF THIS BOARD IS WHAT 7713:17401 IS, AND READING IT LIVE THIS PASS SETTLES THE QUESTION THE BRIEF CARRIED. 7713:17401 is a 580-wide "Main container" at (94,100) whose four children sit 12 apart - streak Frame 172 h=76 at y=0, net worth Frame 271 h=198 at y=88, quick actions Frame 270 h=121 at y=298 with ONE action row, section h=324 at y=431 - and whose id falls between this board's two modals (7713:17338 export, 7713:17751 remove). It is the page under the overlay, not a home frame, and it carries the DESKTOP column's numbers (48 clear under the header, 12 gaps) at tablet width where the standalone 768 home board 7704:46353 draws 24 clear and 8 gaps. So the (94,100) wave 50 recorded is not a home measurement at all and nothing in shell/layout.ts is owed against it. THE MODAL ITSELF is unchanged from wave 50's live read of 7713:17751 and the file still carries it: modal 448x346 at (160,339) on a 12 inset; controls 424x16 at (12,12) with the close at x=408; Frame 200 424x48 at (12,48) as a 22 title over an 18 subtitle 8 apart, which the title row built this pass deliberately leaves at 22 because only the export board carries a mark; the card at (12,116); the wallet row 424x52 at (12,210) on a 6 inset; the CTA row at (12,282) as two 208 halves on an 8 gap. REMAINING, both frame-side and both holding their shipped defaults per the wave 53 rules: the card is (12,10) here against the shared (16,12), and this board draws a 52 CTA pair where 8488:31358, 7713:17360 and the whole add-wallet family draw 50.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7704-46353	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; wave 52's live read stands and the source is unchanged, but the one thing that was still open against it is closed this pass from the other side. That row settled the page rhythm at 768 - header-tablet 52, Main container 580 at (94,76), four children 8 apart, which is SHELL_HEADER_H @[768px]:h-[52px], SHELL_CONTAINER @[768px]:max-w-[580px] and SHELL_COLUMN @[768px]:py-6 with gap-2 - and left the (94,100) recorded off 7713:17401 as the lone dissent. 7713:17401 was read live this pass and it is the BACKGROUND of the remove-wallet overlay board, not a home frame: 12 gaps, 48 clear, a collapsed quick-actions card with one action row, sitting between that board's two modals by id. A decoration copy carrying the desktop column at tablet width. So this board is the one that draws the 768 home and the code matches it. The row stays partial on the CARD INTERIORS only, which are the wallet-components lane's and were not measured here: StreakBanner.tsx 580x76, NetWorthCard.tsx 580x194 on a 12 inset with four 133x50 CTAs at y=132, QuickActionsBar.tsx 580x187 over two rows of five 100x46, and TokenListTable.tsx's 556 table on a 66 pitch.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7713-13398	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; wave 52's source-side measurement stands and the page rhythm it leans on is now settled rather than contested. Skin 3 is the HIDDEN-BALANCE state, not a fourth skin, and it is wired end to end without a prop: useWalletSkin publishes hideBalance, this route hands it to NetWorthCard as hideValues, and TokenListTable reads the same hook itself, so the masked columns are not a missing prop in this file. The 768 rhythm under it is 7704:46353's - 580 at (94,76) under a 52 header, four children 8 apart - and the (94,100) that used to sit against it is now known to be the remove-wallet board's background (7713:17401), not a home number. What keeps the row partial is the masked GLYPHS and their boxes in NetWorthCard.tsx and TokenListTable.tsx, the wallet-components lane's files, named rather than edited.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7704-47027	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ. A skin variant of the 768 home whose variance is the net-worth card's BACKGROUND and nothing structural; the layout is 7704:46353's, which shell/layout.ts produces to the pixel, and the 7713:17401 dissent against it is resolved this pass as an overlay board's background rather than a home frame. The skin comes off useWalletSkin and is drawn by NetWorthCard.tsx - the wallet-components lane's file, which carries the pixel-sampled fills - so nothing in this lane's owns moves this row. It stays partial rather than inheriting a verdict it did not measure: the skin's own fill was not compared this pass either.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
3123-3046	partial	modules/skai-wallet/src/pages/wallet/WalletHomeRoute.tsx	/	NOT RE-READ; wave 50's live read stands and the source is unchanged - header 56, Main container 680 at (380.5,104), 48 clear under the header, four children 16 apart, which is SHELL_HEADER_H @[1024px]:h-14, SHELL_CONTAINER @[1024px]:max-w-[680px] and SHELL_COLUMN @[1024px]:py-12 with gap-4. The hidden-balance state this board draws needs nothing from this file beyond what it already passes. What keeps the row partial is unchanged and all in the wallet-components lane: the net-worth card 680x244 on a 16 inset with four 156x64 CTAs at y=164, the quick-actions card in its post-Collapse state, the streak banner 680x96 and the 648 token column.	1440=partial 768=n-a 375=n-a @2026-09-20/wave53-wallet-shell-pages
7482-145038	partial	modules/skai-wallet/src/shell/panels/AddWalletDrawer.tsx	/ -> add-wallet sidecar (hardware -> import-keystore)	NOT RE-READ; the row stands so the decision stays visible and this lane's standing direction is that Scan QR is unbuilt. The board draws a Scan QR code modal - 564 wide, a 250x250 camera well, "Scan either Keystone or Ledger QR code" - and the app routes the hardware entry to a keystore file import instead, because the repository holds QR GENERATORS only: there is no BC-UR decoder and no device transport, so a camera view here would read as a working affordance and decode nothing. Building the frame would be building a fake, which is the no-mock rule in its UI form - where a source does not exist the honest working path is drawn in its place, and the keystore import is one. CASEY: add a BC-UR decoder and a device transport so the scanner is real, or record the board as superseded by the keystore import.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7717-10565	partial	modules/skai-wallet/src/shell/panels/AddWalletDrawer.tsx	/ -> add-wallet sidecar (import-phrase step)	NOT RE-READ; wave 52's build (909854c) stands and the file at HEAD still carries it. Matched at 768: the 448 frame on its 12 inset, the 16-tall controls row, content opening at 48, the 48-tall Frame 200 as a 22 title over an 18 subtitle 8 apart, the grid opening at 116, the grid's 12 row gap over 8 columns, and two 208 halves of a 424 row on an 8 gap with the pair standing 50. ONE GAP, and it is a held feature rather than a number: the 12 / 24-word toggle ships and this board draws it HIDDEN, which carries the grid off y=116 by the toggle's own height plus its 20. It stays because phraseCount gates how many boxes render AND how many are read, so without it a 24-word phrase can only be pasted. Casey's call, held since wave 44, and the wave 53 rules keep the shipped default until he rules.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
7717-11907	partial	modules/skai-wallet/src/shell/panels/AddWalletDrawer.tsx	/ -> add-wallet sidecar (import-phrase-name step)	NOT RE-READ; wave 52's build (909854c) stands and the file at HEAD still carries it. Matched at 768: the 448 frame on its 12 inset, the 16-tall controls row, a 22 title over an 18 subtitle 8 apart, the 74 field block (16 label + 8 + a 50 field, the 1px stroke carried by the padding rather than added to the height), the CTA row landing back on y=210, and 208-wide halves on an 8 gap. ONE NUMBER LEFT and it is this board dissenting from its own family: it draws a 52 pair where 9941:236436, 8488:31358, 7713:17360 and 7717:10565 all draw 50. The shipped 50 stands per the wave 53 rules; Casey decides whether 7717:12332's 52 is the dissent or the rule.	1440=n-a 768=partial 375=n-a @2026-09-20/wave53-wallet-shell-pages
