Trade panel - Limit [3962-8653]	partial	src/components/trade/order/OrderEntryPanel.tsx	/spot	MEASURED desktop ticket 313w. Frame vs app: side padding 16 = px-4 16; tab gap 24 (Market x0 w43, Limit x67 w29, Pro x120 w37) = gap-6 24; card 12+18+12=42 = p-3 + 18px line 42; card pitch 50 so gap 8 = gap-2 8; Buy/Sell wrapper 38 with two 132.5x30 at x4/x144.5 gap 8 = p-1 4 + py-1.5 30 + gap-2 8; Slippage cell 7735-33519 draws -- and app prints an em dash (SPOT_SLIPPAGE_ENFORCED false) so the VALUE is right and the GLYPH differs; summary block 66 vs app 68 (+2, the frame's two rules are zero-height vectors, app uses h-px). OPEN: trailing CTA 7735-51210 h=36 vs Add more funds 30 (-6). No parity oracle exists for this file.	desktop=partial tablet=unknown mobile=unknown @2026-08-27
Spot - Market [9774-82207]	partial	src/components/trade/order/OrderEntryPanel.tsx	/spot	MEASURED 375 ticket 9780-149656 (h554). Matches: tab gap 24 (Market x0 w37, Limit x61 w25, Pro x110 w34) = gap-6; Buy/Sell 9780-149670 h40 with 167.5x32 at x4/x179.5 gap 8 = p-1 + py-1.5 + gap-2; slider 9780-149692 h48 inner 12/12 w327 with stops 0/25/50/75/100. FIXED this lane: size card 9780-149674 signals inset 12 over a 16px row = 40, app rendered 12+44+12=68 at <=768 because index.css forces min-height 44px on input:not(.no-min-size); the input now carries no-min-size so the card holds 42. OPEN: strip pad 16 vs frame 12 (+4/side at 375 only, 16 is correct at the 313 desktop column); strip height 38 vs 36 above 768 and 56 vs 36 at 768 (tabs have no no-min-size - the header-band 44px case Casey holds per brief S4).	desktop=unknown tablet=partial mobile=partial @2026-08-27
Spot - Limit [9774-83802]	partial	src/components/trade/order/OrderEntryPanel.tsx	/spot	MEASURED 375 ticket 9774-89839 (h578). Frame 1233 stacks Price card y0 h40 and Size card y48 h40, pitch 48 so gap 8 = gap-2 8. Price row 9774-89862 label w61 with right group x243 w84 = value + a 68px Current price control; app draws both and falls back to an em dash with no live mark (NO-MOCK). FIXED this lane: the limit-price input now carries no-min-size, so the card is 42 not 68 at <=768 (was +28 vs the frame's 40). Card 42 vs frame 40 at 375 remains (+2); at the 313 desktop column the frame itself draws 42 and it matches exactly.	desktop=unknown tablet=partial mobile=partial @2026-08-27
Spot - Pro > Scaled order [9775-95209]	partial	src/components/trade/order/ScaledOrderFields.tsx	/spot	MEASURED 375 ticket 9775-96659 against a NEW oracle (ScaledOrderFields.figma.test.tsx, 14 tests, all resolved through the shipping Tailwind config not the component's strings). Matches: Min/Max split 165.5 + 4 + 12 + 4 + 165.5 = 351 = flex-1 + gap-1 + w-3; card radius 12 (frame rounded-xl 12; this repo's rounded-xl is 16, so the NAME would have landed 4 out); card inset 12 = p-3; chip row 9775-96744 four 86.25 chips gap 2 = 4x86.25 + 3x2 = 351 = flex-1 + gap-0.5; chip radius 4 as an arbitrary value (no class for 4px here); selected chip carries the frame's 10x10 glyph; empty ladder prints the frame's -- four times and never a 0. FIXED this lane: chips rendered 44 tall vs the frame's 24 and all four card inputs 68 vs 40, both from index.css's 44px floor at <=768; no-min-size added per control. DELIBERATE departures, each already documented in-file: TP trigger card 9775-96695 not built (trigger price is dropped before the RPC), hint says 2-20 not the frame's 2-60 (MAX_SCALED_LEGS is 20), heading says Size distribution not the frame's Expiry 9775-96740.	desktop=unknown tablet=partial mobile=partial @2026-08-27
Spot - Pro > Trigger [9775-91911]	blocked-on-backend	src/components/trade/order/orderTypeVisibility.ts	/spot	NOT a layout gap. SPOT_ADVANCED_ORDERS_ENABLED is false because the chain half is unconfirmed: skai-rpc grows the place body 126 to 159 bytes to carry triggerPrice, but SKAI_ADVANCED_ORDERS_TX defaults false on the node and a gated-off node truncates the trailing 33 bytes and rests the order as a plain limit - silently. The Pro menu 7761-224662 still lists the row (Trigger y8 h30 of a 137x122 panel) and says so per row, so the affordance is honest. Reachability verified by reading the flag, not by placing an order: localhost cannot execute a trade. Unblocks when the env is confirmed ON fleet-wide.	desktop=not-started tablet=not-started mobile=not-started @2026-08-27
Spot - Pro > TP/SL [9775-93615]	blocked-on-backend	src/components/trade/order/orderTypeVisibility.ts	/spot	Same gate as Trigger above - TP/SL needs the same chain-side trigger encoding. Frame's menu row is 7761-224665 (TP/SL, y46 h30). Time-in-force is a second, independent block: CreateOrderRequest carries it but the payload posted to callSpotOrderProxy('place') never includes it, so a Fill or Kill would silently be GTC. Both must close before the flag flips.	desktop=not-started tablet=not-started mobile=not-started @2026-08-27
Spot - Pro [9774-89981]	unknown	src/components/trade/parts/ProOrderTypeMenu.tsx	/spot	NOT MEASURED. The frame's subject is the Pro dropdown itself, and that component lives in trade/parts/, outside this lane's files. What I can state from the desktop twin 3962-8653: the menu is 137x122 with three 30px rows on a 38px pitch and 8px padding - Trigger 7761-224663, TP/SL 7761-224665, Scaled order 7761-224668 - which is exactly the row list the tab strip in OrderEntryPanel declares. The strip that hosts it is measured on the Market and Scaled rows. The menu's own geometry is unmeasured here.	desktop=unknown tablet=unknown mobile=unknown @2026-08-27
Trade panel - Sell [3899-7131]	unknown	src/components/trade/order/OrderEntryPanel.tsx	/spot	NOT MEASURED. This is the market/sell sibling of 3962-8653; I measured the Limit component and the two 375 screen twins instead and did not open this node. Its numbers are very likely the Limit component's with the price card dropped, but likely is not measured. Left honest rather than inferred.	desktop=unknown tablet=unknown mobile=unknown @2026-08-27
Spot - limit [9045-168925]	partial	src/components/trade/order/OrderEntryPanel.tsx	/spot	DEMOTED from done - the done rested on a citation with no numbers and no oracle. 768 is inside index.css's max-width 768 block, so the ticket's cards were carrying the 44px input floor here too: 12+44+12=68 against the 40 the 375 twin draws and the 42 the 313 desktop component draws. FIXED this lane (no-min-size on all three card inputs). Not re-measured at 768 itself: the shared dev server was unreachable for the whole run, so this verdict is Figma node data plus the resolved Tailwind config, not a rendered DOM at 768.	desktop=unknown tablet=partial mobile=unknown @2026-08-27
Spot [3886-15237]	unknown	src/components/trade/order/OrderEntryPanel.tsx	/spot	NOT MEASURED at 1440. The existing done cites OrderEntryPanel but carries no numbers, and this file has no parity oracle of any kind (figmaGeometry.test.tsx covers PositionsTable and AIConfidenceStrip; LayoutGrip has its own). The 44px-floor defect this lane fixed does not apply at 1440, so I have no evidence of a defect here - and no evidence of parity either.	desktop=unknown tablet=unknown mobile=unknown @2026-08-27
Spot > Limit [3931-93237]	unknown	src/components/trade/order/OrderEntryPanel.tsx	/spot	NOT MEASURED at 1440. Same standing as 3886-15237: this frame is the Spot terminal with the ticket's Limit tab selected, so its ticket is the 3962-8653 component I DID measure at 313 - but the screen-level geometry at 1440 was not checked. The component-level numbers are on the 3962-8653 row.	desktop=unknown tablet=unknown mobile=unknown @2026-08-27
