4459:128150	Directory	FRAME	6340	352	1
4645:70345	Directory	FRAME	11375	352	1
4711:29143	Directory	FRAME	18439	352	1
8521:79304	Directory	FRAME	6340	352	1
8975:140958	Directory	FRAME	1440	352	1
4459:128153	Breakpoint	FRAME	1450	164	1
10855:53591	Breakpoint	FRAME	1450	164	1
10855:53593	Breakpoint	FRAME	1450	164	1
4711:29147	Breakpoint	FRAME	1450	164	1
11107:73945	Breakpoint	FRAME	1450	164	1
11084:65311	Breakpoint	FRAME	1450	164	1
11100:60412	Breakpoint	FRAME	1450	164	1
11107:73947	Breakpoint	FRAME	1450	164	1
11107:73949	Breakpoint	FRAME	1450	164	1
8526:132329	Breakpoint	FRAME	3862	164	1
4459:128155	Rectangle 155	RECTANGLE	720	720	1
4645:70348	Rectangle 156	RECTANGLE	720	720	1
4711:29146	Rectangle 157	RECTANGLE	720	720	1
4595:49807	Skai > Play 1VH (144	FRAME	1440	900	1
11151:81849	Play Carousel - not 	FRAME	1318	244	1
10855:53595	Skai > Play 1VH (768	FRAME	768	1024	1
11199:44105	Scroll bar 3	FRAME	1440	22	1
10912:148682	Skai > Play (768 x 1	FRAME	768	3741	1
11066:23332	Skai > Play > Casino	FRAME	768	4297	1
11109:81960	Skai > Play > Sports	FRAME	768	4926	1
11216:132577	Skai > Play > Sports	FRAME	768	1024	1
11216:146306	Skai > Play > Sports	FRAME	768	1024	1
11216:149350	Skai > Play > Sports	FRAME	768	1024	1
11216:137015	Skai > Play > Sports	FRAME	768	1024	1
11217:151964	Quick bet - collapse	FRAME	318	50	1
11220:151987	Bet slip - collapsed	FRAME	318	50	1
11216:143952	Skai > Play > Sports	FRAME	768	1024	1
11216:139328	Skai > Play > Sports	FRAME	768	1024	1
11132:176323	Skai > Play > Sports	FRAME	375	5357	1
11216:134868	Skai > Play > Sports	FRAME	375	812	1
11220:168059	Skai > Play > Sports	FRAME	375	812	1
11220:157525	Skai > Play > Sports	FRAME	375	812	1
11220:159672	Skai > Play > Sports	FRAME	375	812	1
11220:166265	Quick bet - collapse	FRAME	375	50	1
11220:166285	Bet slip - collapsed	FRAME	375	50	1
11220:164090	Skai > Play > Sports	FRAME	375	812	1
11220:161923	Skai > Play > Sports	FRAME	375	812	1
11144:199166	Skai > Play > Sports	FRAME	375	812	1
11131:161786	Skai > Play > Sports	FRAME	768	3998	1
