13008:26952	Directory	FRAME	6340	352	1
13008:26957	Directory	FRAME	6340	352	1
13008:26962	Directory	FRAME	6340	352	1
13008:26967	Breakpoint	FRAME	1450	164	1
13008:26969	Breakpoint	FRAME	1450	164	1
13008:26971	Breakpoint	FRAME	1450	164	1
13008:26973	Breakpoint	FRAME	1450	164	1
13008:26975	Breakpoint	FRAME	1450	164	1
13008:26977	Breakpoint	FRAME	1450	164	1
13008:26979	Breakpoint	FRAME	1450	164	1
13008:26981	Breakpoint	FRAME	1450	164	1
13008:26983	Breakpoint	FRAME	1450	164	1
13008:26985	Skai > Wallet > cont	FRAME	1440	900	1
13008:27159	Quick actions - expa	FRAME	680	326	1
13008:27250	Quick actions - expa	FRAME	580	289	1
13008:27341	Skai > Wallet > cont	FRAME	1440	900	1
13008:27515	Skai > Wallet > cont	FRAME	1440	900	1
13008:27689	Skai > Wallet > cont	FRAME	1440	900	1
13008:27781	Skai > Wallet > cont	FRAME	1440	900	1
13008:27879	Skai > Wallet > cont	FRAME	1440	900	1
13008:27989	Skai > Wallet > cont	FRAME	1440	900	1
13008:28216	Skai > Wallet > cont	FRAME	1440	900	1
13008:28402	Skai > Wallet > cont	FRAME	1440	1036	1
13008:28453	Skai > Wallet > cont	FRAME	1440	900	1
13008:28652	Streak card - Coral 	FRAME	680	254	1
13008:28694	Skai > Wallet > cont	FRAME	1440	900	1
13008:28765	Skai > Wallet > cont	FRAME	1440	900	1
13008:28886	Skai > Wallet > cont	FRAME	1440	900	1
13008:29014	Skai > Wallet > cont	FRAME	1440	900	1
13008:29130	Bridge screen - erro	FRAME	580	634	1
13008:29226	Skai > Wallet > cont	FRAME	1440	900	1
13008:29347	Skai > Wallet > cont	FRAME	1440	900	1
13008:29525	Bridge screen - erro	FRAME	680	720	1
13008:29589	Skai > Wallet > cont	FRAME	1440	900	1
13008:29693	Skai > Wallet > cont	FRAME	1440	900	1
13008:29837	Skai > Wallet > cont	FRAME	1440	900	1
13008:30018	Skai > Wallet > cont	FRAME	1440	900	1
13008:30834	Skai > Wallet > cont	FRAME	1440	900	1
13008:31653	Skai > Wallet > cont	FRAME	1440	900	1
13008:32486	Normal	FRAME	506	506	1
13008:33202	Night	FRAME	506	506	1
13008:33918	Light	FRAME	506	506	1
13008:34634	Gradient	FRAME	506	506	1
13008:35350	Skai > Wallet > cont	FRAME	1440	900	1
13008:36166	Skai > Wallet > cont	FRAME	1440	900	1
13008:36367	Skai > Wallet > cont	FRAME	1440	900	1
13008:36562	Skai > Wallet > cont	FRAME	1440	900	1
13008:36677	Skai > Wallet > cont	FRAME	1440	900	1
13008:36788	input/primary-inputs	INSTANCE	648	86	1
13008:36789	Skai > Wallet > cont	FRAME	1440	900	1
13008:36913	Accounts to send - e	FRAME	680	666	1
13008:36985	Skai > Wallet > cont	FRAME	1440	900	1
13008:37111	Skai > Wallet > cont	FRAME	1440	900	1
13008:37287	Skai > Wallet > cont	FRAME	1440	900	1
13008:37430	Skai > Wallet > cont	FRAME	1440	900	1
13008:37523	Skai > Wallet > cont	FRAME	1440	900	1
13008:37621	Skai > Wallet > cont	FRAME	1440	900	1
13008:37719	Token allocation - s	FRAME	680	414	1
13008:37778	Token allocation - e	FRAME	680	414	1
13008:37821	Simple Chart line - 	FRAME	680	300	1
13008:37871	Simple Chart line wi	FRAME	680	309	1
13008:37942	Skai > Wallet > cont	FRAME	1440	900	1
13008:38053	Skai > Wallet > cont	FRAME	1440	900	1
13008:38161	Skai > Wallet > cont	FRAME	1440	900	1
13008:38248	Skai > Wallet > cont	FRAME	1440	900	1
13008:38381	Skai > Wallet > cont	FRAME	1440	900	1
13008:38514	Skai > Wallet > cont	FRAME	1440	900	1
13008:38622	Skai > Wallet > cont	FRAME	1440	900	1
13008:38846	dropdown - start scr	FRAME	647	504	1
13008:38964	Skai > Wallet > cont	FRAME	1440	900	1
